0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
51.9492944024908+0i,25.9746515281614+0i,25.9746431842996+0i,16.8174161910364+0i,25.9928553634138+0i,16.8174161917055+0i,42.8102715609498+0i,9.15723533860934+0i
111.977634538431+0i,56.0026411653937+0i,55.9729217728192+0i,39.896450232254+0i,55.9992909718246+0i,39.8964449112628+0i,95.8957357887693+0i,16.1061810611245+0i
21.9715846631051+0i,10.9857923315743+0i,10.9857923315416+0i,6.73010986020901+0i,10.9761910488059+0i,6.73010986020907+0i,17.7063007693477+0i,4.25568247136536+0i
61.9924662233589+0i,30.9962331118912+0i,30.9962331116984+0i,25.9081147577972+0i,30.9711709831581+0i,25.9081147577979+0i,56.8792850083965+0i,5.08811835409493+0i
91.9752290286233+0i,45.9876226926367+0i,45.9876073959465+0i,35.6518743310714+0i,45.9932396845541+0i,35.6518743331461+0i,81.6451140196826+0i,10.3357483678772+0i
-3.82163607507431e-30+0i,-4.44704878859325e-29+0i,-4.93602090005734e-29+0i,-2.11615676605748e-31+0i,1.13699085976129e-30+0i,-1.90778516836136e-31+0i,6.1413405737475e-31+0i,-1.85447269357009e-31+0i
41.9041542999228+0i,20.9558698700937+0i,20.9478025850116+0i,11.2544259971282+0i,20.9977559453839+0i,11.2544246934746+0i,32.2521805735953+0i,9.70144085841135+0i
92.0263354470662+0i,46.01672188982+0i,45.9993384246205+0i,40.3273529895784+0i,46.0000314650334+0i,40.3273285736233+0i,86.3273568578818+0i,5.68932823774993+0i
1.87291136700001e-41-4.65232438704203e-38i,-8.87976220558797e-42-1.53763494463733e-38i,-1.81043595806386e-41-1.70848321691833e-38i,1.59669712546992e-42-1.85576849439263e-39i,4.18535691539136e-42-9.43213313059527e-39i,5.63025990861307e-43-1.52972738106556e-39i,8.29543348878163e-42-9.77237397616976e-39i,6.01401478371431e-42-1.29903890269446e-38i
-2.30930974938922e-91+0i,-6.93589697217623e-92+0i,-7.70655315495743e-92+0i,-1.61876908954459e-92+0i,-2.79239877285563e-92+0i,-6.67639901632964e-93+0i,-1.52671936604184e-92+0i,-2.06025187656309e-92+0i
61.9832329654962+0i,30.9916219563255+0i,30.9916114086581+0i,24.0590837232483+0i,30.997290074666+0i,24.0590837285521+0i,55.0563738029452+0i,6.93253823096352+0i
101.939331051065+0i,50.9696742739558+0i,50.9696571501757+0i,35.9379361936516+0i,50.9950649494782+0i,35.9379361993349+0i,86.9330011431665+0i,15.0317380759323+0i
49.8316783410284+0i,23.8567880012595+0i,25.9536863480512+0i,16.6555831808769+0i,25.9686121491089+0i,16.655566914318+0i,42.6241964138796+0i,7.20105486451454+0i
41.9574125616145+0i,20.9823321314202+0i,20.9743307323875+0i,12.9453912223081+0i,20.9985098574904+0i,12.9453910844715+0i,33.9438987547676+0i,8.03693704562045+0i
32.005025327273+0i,16.0034914918511+0i,15.9980454593024+0i,12.9863475234527+0i,15.9990873777576+0i,12.9863383822272+0i,28.9854231757942+0i,3.01713171818032+0i
91.922713162312+0i,45.9613643769786+0i,45.9613492139138+0i,30.6245861255656+0i,45.9921398815426+0i,30.6245861298841+0i,76.6167260539285+0i,15.3367782547273+0i
101.997249831094+0i,50.9986249156168+0i,50.9986249155685+0i,46.6782809985244+0i,50.9856111506675+0i,46.6782809985244+0i,97.6638918954652+0i,4.3203439170929+0i
32.0051158514934+0i,16.0030561580234+0i,15.9984628886202+0i,13.1881761568973+0i,15.9993009410262+0i,13.1881670383291+0i,29.1874673417307+0i,2.81486532809711+0i
91.9794901094133+0i,45.9897528719395+0i,45.9897379160047+0i,36.449056998013+0i,45.9966211981377+0i,36.4490570023143+0i,82.4456782058459+0i,9.54069587433179+0i
59.4361031163423+0i,28.4629585684966+0i,30.947420584281+0i,20.0907448852151+0i,30.9638035303383+0i,20.0906790742246+0i,51.0544827589826+0i,8.37210219490557+0i
59.3858244328812+0i,28.4304019298908+0i,30.9383921627862+0i,19.2139640263962+0i,30.9621196285077+0i,19.2144009812356+0i,50.1767103742269+0i,9.21568394026101+0i
11.9810744997457+0i,5.9903913108154+0i,5.99028948650405+0i,3.48901884344602+0i,5.9988331692316+0i,3.48901826331436+0i,9.48785065482803+0i,2.50137048415387+0i
81.8930766011765+0i,40.9465449611771+0i,40.9465319547769+0i,25.2444386639696+0i,40.9895496448555+0i,25.2444386647724+0i,66.2339883129496+0i,15.7021062995167+0i
41.9256514720073+0i,20.9628257362163+0i,20.9628257358546+0i,12.1094481294958+0i,20.9559362036885+0i,12.1094481294936+0i,33.0653849432327+0i,8.85337760672205+0i
71.8893391775028+0i,35.9446695889679+0i,35.9446695885915+0i,21.4677052863088+0i,35.9435185446857+0i,21.4677052863085+0i,57.4112239165424+0i,14.4769643026589+0i
2.80363945422583+0i,1.32803961952724+0i,1.47559976623135+0i,0.274546306922851+0i,1.05176090816638+0i,0.274546306443726+0i,1.3263073500908+0i,1.05349331081799+0i
1.89257372199458+0i,0.904339417578127+0i,0.985673095566778+0i,0.311672048713426+0i,0.996454680943661+0i,0.311670756664678+0i,1.30813395713417+0i,0.592630309426792+0i
102.0063569454+0i,51.0142210233468+0i,50.9888592716702+0i,39.577701392269+0i,50.9995649973823+0i,39.5776354254991+0i,90.5771698883148+0i,11.4365922362476+0i
59.3885293446352+0i,28.4470503707579+0i,30.9254820937635+0i,17.87325900131+0i,30.9638288275283+0i,17.8735292729313+0i,48.8375134412573+0i,10.5732397032915+0i
91.9206203197552+0i,45.9773583025862+0i,45.9424900854984+0i,28.4567366272978+0i,45.9989079723679+0i,28.4567018059893+0i,74.4555795498788+0i,17.5206808106544+0i
41.8959972275742+0i,20.9479986139067+0i,20.9479986136901+0i,11.3750956725085+0i,20.9532165238887+0i,11.3750956725083+0i,32.3283125650915+0i,9.57290294139806+0i
101.939381083875+0i,50.9696987031276+0i,50.9696829100233+0i,35.7425739096074+0i,50.9909540653297+0i,35.7425739605771+0i,86.733527976102+0i,15.2271247480428+0i
111.925757153765+0i,55.9628876779507+0i,55.9628698485118+0i,38.715573926736+0i,55.9922575726475+0i,38.715573934611+0i,94.7078315366011+0i,17.2473137362077+0i
11.4703482009203+0i,5.47837660556625+0i,5.98422147255322+0i,3.44238504326262+0i,5.99074895466469+0i,3.44238252906069+0i,9.43314143160171+0i,2.03592515831896+0i
81.97592664221+0i,40.9879633215059+0i,40.9879633208223+0i,31.5892056394539+0i,40.9845466039975+0i,31.5892056394488+0i,72.5737528401357+0i,9.39875768206011+0i
