0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
5.77971441571462e-07+0i,2.65119505720846e-06+0i,2.65119505720846e-06+0i,2.63374192189945e-06+0i,0.899999998413333+0i,0.911600187725897+0i,0.911600170272561+0i,0.911600216814791+0i,0.899999957688881+0i,0.911599541904788+0i,0.911599576811461+0i,0+0i,4.6013341914907e-08+0i,1.11066687378023e-08+0i
0.107091830182442+0i,0.317160837332128+0i,0.317160837332128+0i,0.315678641938061+0i,0.899865254921542+0i,0.908770099527248+0i,0.907287903664997+0i,0.911240425966123+0i,0.896406797907774+0i,0.890406326131621+0i,0.893370717857743+0i,0+0i,0.00390760727530737+0i,0.000943215549206178+0i
-2.28261423978483e-17+6.82952217710499i,0.0723850368900476-0.0519998135880893i,0.0723850368900476-0.0519998135880893i,0.0723850369815996-0.0519998135536035i,0.9+0i,0.91160023778693+0i,0.91160023778693+0i,0.91160023778693+0i,0.9+0i,0.91160023778693+0i,0.91160023778693+0i,0+0i,-2.61112894879822e-18+0i,-6.30272504813785e-19+0i
-4.67411619284338e-16+0i,-2.1745502424231e-15+1.7089433260578e-07i,-2.1745502424231e-15+1.7089433260578e-07i,-2.17224322279753e-15+1.7089433260731e-07i,0.9+0i,0.91160023778693+0i,0.91160023778693+0i,0.91160023778693+0i,0.9+0i,0.91160023778693+0i,0.91160023778693+0i,0+0i,-6.08175678254826e-18+0i,-1.46801025784608e-18+0i
1.82436173665692e-06+0i,8.4283251123004e-06+0i,8.4283251123004e-06+0i,8.4099653476013e-06+0i,0.899999998330964+0i,0.9116001853752+0i,0.911600167015805+0i,0.911600215974191+0i,0.899999955492376+0i,0.91159951239562+0i,0.91159954911441+0i,0+0i,4.84020408447199e-08+0i,1.1683251236341e-08+0i
0.0158539460772418+0i,0.0588205974997845+0i,0.0588205974997845+0i,0.0573384892142229+0i,0.899865262882075+0i,0.908770244844425+0i,0.907288136547379+0i,0.911240425339807+0i,0.896407010188665+0i,0.890406992530709+0i,0.893371209125179+0i,0+0i,0.00390737641974597+0i,0.000943159825478602+0i
0.0276901759685336+0i,0.0991003005537712+0i,0.0991003005537712+0i,0.0976181422111229+0i,0.899865258334781+0i,0.908770161836211+0i,0.907288003518895+0i,0.91124042569854+0i,0.896406888927491+0i,0.890406612730776+0i,0.893370929365623+0i,0+0i,0.00390750829120079+0i,0.000943191656531131+0i
0.44466115294976+0i,0.805186935055231+0i,0.805186935055231+0i,0.803704800332585+0i,0.899865260480385+0i,0.908770201005548+0i,0.907288066290046+0i,0.911240425532069+0i,0.896406946143597+0i,0.890406791793594+0i,0.893371061225329+0i,0+0i,0.00390744606882258+0i,0.000943176637306031+0i
-1.67405432326076e-16+0i,-6.93037613162842e-16+1.79008022003323e-06i,-6.93037613162842e-16+1.79008022003323e-06i,-6.29560884231887e-16+1.79008022002724e-06i,0.9+0i,0.91160023778693+0i,0.91160023778693+0i,0.91160023778693+0i,0.9+0i,0.911600237786933+0i,0.911600237786933+0i,0+0i,-1.67347736514346e-16+0i,-4.03942812153483e-17+0i
