0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
8.99891998875118e-05+0i,5.15963132988269e-10+0i,8.99948958059099e-05+0i,9.00018862253506e-05+0i,4.30962780262368e-05+0i,4.69060001045794e-05+0i,1.46492300619805e-06+0i,2.44557922106646e-05+0i,2.2469492792704e-05+0i,2.24754897851277e-05+0i,1.46540957548931e-06+0i
17.0201891085944+0i,6.37867169339937+0i,10.6415392437659+0i,10.6417479567711+0i,8.22364997585408+0i,8.79592475757935+0i,0.271422302780821+0i,4.593818367228+0i,4.20249943732531+0i,4.20311826406104+0i,0.271451658005712+0i
-7.32873259067681e-14-1.50296764371251e-14i,-4.53786906507632e-20-1.98777162319135e-20i,-7.33531577583676e-14+1.67457358615104e-13i,-7.34190530170729e-14+1.66746741540869e-13i,-3.51707681398964e-14-1.3751895174364e-15i,-3.82798556982417e-14-1.49675548527593e-15i,-7.46294073334322e-16+3.38942917118362e-36i,-1.99586783895763e-14-7.78780450656894e-16i,-1.83376357497486e-14-7.15527950018457e-16i,-1.83989656351556e-14-7.06512986538732e-16i,-7.48790040137448e-16+1.95837008239319e-28i
-9.50547308530075e-14-1.8335317537291e-14i,-2.30525692756143e-19-4.2305020366398e-20i,-9.50883574726667e-14+5.18148874633757e-13i,-9.51220175429604e-14+5.17236563570826e-13i,-4.55555306523439e-14-2.28398300145509e-15i,-4.95826287783854e-14-2.48588558065816e-15i,-3.04485470715687e-16+1.03108616775922e-37i,-2.58450838484949e-14-1.29458731035382e-15i,-2.37459477168053e-14-1.18944100807363e-15i,-2.39858057703282e-14-1.13835879413367e-15i,-3.07561081531027e-16+6.5702879763494e-30i
0.00028658581754196+0i,5.28714546276078e-09+0i,0.000286592190002334+0i,0.000286603543808954+0i,0.000137240711663212+0i,0.000149372747133188+0i,2.74928520087894e-06+0i,7.78497443774774e-05+0i,7.15267879553458e-05+0i,7.15667877498809e-05+0i,2.75081527838752e-06+0i
2.49931093197423+0i,0.284288860281109+0i,2.21513575421216+0i,2.21528677175742+0i,1.18898241522096+0i,1.31065877027839+0i,0.077537913526032+0i,0.684506096406859+0i,0.626197513591926+0i,0.626242312782809+0i,0.0775425690007927+0i
4.36651476305972+0i,0.762759158862458+0i,3.60389601476303+0i,3.60406229058084+0i,2.0823465139239+0i,2.28454173522878+0i,0.101776916805205+0i,1.19311545311383+0i,1.09148150440961+0i,1.09157179204432+0i,0.101784778593399+0i
68.1727373298007+0i,35.4078971400773+0i,32.7699064435911+0i,32.7765302457243+0i,33.8789485747498+0i,34.3101638972339+0i,0.222923718258264+0i,17.9187735768984+0i,16.3923932490855+0i,16.3999327452422+0i,0.223044192730819+0i
-1.58436768875625e-14-8.0705789810078e-09i,-3.64239446928351e-13+3.57558147964401e-18i,2.01639598622526e-14+1.05102024616346e-08i,1.74333393117008e-14+7.10606478801505e-09i,-5.85385692677945e-16-6.28863263504197e-09i,-1.11214872627618e-14-6.84454626460799e-09i,-1.27325160531403e-17+3.83397687954688e-30i,-5.41611965803786e-15-3.03110112799536e-09i,-4.97622275020084e-15-2.78491527950369e-09i,-4.87697832455278e-15-2.64124078098921e-09i,-1.27466790298401e-17+1.53633003954672e-19i
1.89232674288261e-05+0i,7.70772301891329e-12+0i,1.89276636967699e-05+0i,1.89320595702717e-05+0i,9.0663542072326e-06+0i,9.86782445731677e-06+0i,6.06427202460303e-07+0i,5.14334148936051e-06+0i,4.72559930507136e-06+0i,4.72646290136593e-06+0i,6.06539618053695e-07+0i
0.000113489344361322+0i,8.06424592474027e-10+0i,0.000113491675644988+0i,0.000113494638670215+0i,5.43459747301418e-05+0i,5.91501702894797e-05+0i,1.79777087102608e-06+0i,3.08271703149239e-05+0i,2.83233875234829e-05+0i,2.83327445027719e-05+0i,1.79837136745919e-06+0i
9.93660982137339e-05+0i,6.14110401923196e-10+0i,9.93685014214887e-05+0i,9.93707049777804e-05+0i,4.75839174776473e-05+0i,5.17903466268742e-05+0i,2.8362214681245e-06+0i,2.69907865225499e-05+0i,2.47985948889535e-05+0i,2.4803838493938e-05+0i,2.83675056533554e-06+0i
44.3761618695807+0i,25.4378661328583+0i,18.9690305960542+0i,18.9668877584366+0i,22.1036260412656+0i,22.3005926627195+0i,1.72735546574991+0i,11.9416465128177+0i,10.3589581272045+0i,10.3589042887188+0i,1.72745086276311+0i
6.16913931681585+0i,1.36699685572722+0i,4.80215547168485+0i,4.80237544882741+0i,2.94853251399366+0i,3.22083726117641+0i,0.101781271669727+0i,1.68212937100916+0i,1.53883918878548+0i,1.53904195906557+0i,0.101792310709208+0i
20.9960818595755+0i,8.95732254782093+0i,12.0445759783938+0i,12.0503124986825+0i,10.2124234223171+0i,10.7968833444657+0i,0.0775363277698049+0i,5.63874358406157+0i,5.15841698666315+0i,5.16019378093383+0i,0.0775782299393215+0i
0.000117502805626361+0i,8.75456209938952e-10+0i,0.000117507005392687+0i,0.000117511674675237+0i,5.62704363640346e-05+0i,6.12447533913309e-05+0i,2.63717424492246e-06+0i,3.19191774324054e-05+0i,2.93267018432827e-05+0i,2.93328973443459e-05+0i,2.63780241887428e-06+0i
5.75284499374637e-14-1.92718731001083e-16i,-6.92673253119325e-22+1.77913981675371e-21i,5.75334000232304e-14+2.23995112283393e-14i,5.75383504516545e-14+2.23831388559966e-14i,2.75525413993573e-14+1.53442605552279e-16i,2.99881795076545e-14+1.67006854408031e-16i,1.79510049042983e-16-2.34198927321482e-40i,1.56294176740162e-14+8.70067061692811e-17i,1.43599973250973e-14+7.99400268081356e-17i,1.45050478031799e-14+7.33182842910634e-17i,1.81323281861599e-16+8.94976196200031e-34i
21.2586982013043+0i,9.0684696862063+0i,12.1950121489369+0i,12.2006460312985+0i,10.3394779851834+0i,10.9312669024198+0i,0.0775372205986567+0i,5.70904998767232+0i,5.22273422227797+0i,5.22462468644843+0i,0.0775791260379642+0i
0.000170437443303905+0i,1.83382939257949e-09+0i,0.000170439052854934+0i,0.000170442333993953+0i,8.16154478723022e-05+0i,8.88302567399554e-05+0i,2.69394007350638e-06+0i,4.62957210480067e-05+0i,4.25355825305278e-05+0i,4.254988666654e-05+0i,2.69483909140864e-06+0i
53.1239214485603+0i,30.5278694706664+0i,22.6314901751841+0i,22.6292503972297+0i,26.568653438298+0i,26.5887246788371+0i,2.05955490844331+0i,14.2380102501221+0i,12.3509710723192+0i,12.3508997707482+0i,2.05968116909831+0i
52.2198903717375+0i,29.7834457603223+0i,22.461806906229+0i,22.4609976063414+0i,25.8706662113453+0i,26.3739878673336+0i,2.05954198894067+0i,14.1228847170842+0i,12.2511079239686+0i,12.2510852632099+0i,2.05962383211095+0i
2.64422402869604+0i,0.332436599045353+0i,2.31199697167379+0i,2.31235525237399+0i,1.25868192278016+0i,1.38628574873292+0i,0.0290757935671516+0i,0.724015939655961+0i,0.662341705768675+0i,0.662462610537069+0i,0.029081037130049+0i
0.000101876108773828+0i,6.61240694054523e-10+0i,0.000101881805898335+0i,0.00010188816106344+0i,4.87894258321991e-05+0i,5.3102421882694e-05+0i,2.31147004082822e-06+0i,2.76758743271532e-05+0i,2.54280398421462e-05+0i,2.54341249830505e-05+0i,2.31202055542113e-06+0i
34.1705482712597+1.52561061082634e+289i,14.9000353875054+18.3892412169147i,19.1436049935255-8.1563035531404e-288i,19.1118695512298-0.29364072592052i,22.4694873659791-1.05321001814226i,20.8582766547946-0.00783012594604897i,-2.81467069778491e-17-2.48026957684715e-23i,20.8458914162884+2.65642376582876e-05i,19.1527893886176+2.44066918980782e-05i,19.1528024005286-4.71115904691438e+306i,-2.82031075994833e-17+1.90701326353292e+287i
65.5564990707073+3.0952554569422e+288i,32.4565510713495+10.376025179766i,32.8176085603295-1.03905014744389e-286i,32.7363718848325-0.467734055326621i,37.4678133574787-1.01931808192674i,35.7560784804921+0.00327957279434093i,-1.28409801717752e-16-3.9819070718384e-23i,35.7337734014357+3.47479321268611e-05i,32.8314785082067+3.19257072017276e-05i,32.8314981889231-2.9192293777417e+306i,-1.28593490777144e-16+5.80360398176663e+286i
3.17813000643151e-06+0i,1.31039291893953e-12+0i,3.18278978366013e-06+0i,3.18744985129274e-06+0i,1.5273344271391e-06+0i,1.66235157121179e-06+0i,5.59497136724796e-08+0i,8.66964434483365e-07+0i,7.96549584196898e-07+0i,7.96993246121499e-07+0i,5.598081617767e-08+0i
0.960340652143461+0i,0.272163014230514+0i,0.693907863322584+0i,0.693815363089778+0i,0.436491474388944+0i,0.529635844954748+0i,0.0663349664245369+0i,0.283636996959754+0i,0.246048196912588+0i,0.246063328335394+0i,0.0663537841095559+0i
25.8488685488654+0i,11.2175496435985+0i,14.6305198105631+0i,14.630864937857+0i,12.5774942744443+0i,13.2702742223841+0i,0.247190312592347+0i,6.93064213182475+0i,6.3402634558769+0i,6.34165954902672+0i,0.247234900861634+0i
51.8637090953782+0i,29.5782182055175+0i,22.3100234752907+0i,22.3099898673301+0i,25.6932300472435+0i,26.1958131654554+0i,2.05952611049415+0i,14.0274783029023+0i,12.1683513190784+0i,12.1683406952965+0i,2.05960945720461+0i
7.72975341261621+0i,1.94160508322016+0i,5.78825326128105+0i,5.78835203990299+0i,3.70042186169322+0i,4.02958602737384+0i,0.22294041269407+0i,2.10444215147213+0i,1.92517818443026+0i,1.92529918837883+0i,0.22295378747796+0i
