0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
1.98999994011664+0i,0.999999928647917+0i,1.00000040878978+0i,0.999999921340411+0i,0.887361842806026+0i,0.999999996491117+0i,0.887361842806026+0i,0.887361821546745+0i
1.9789727408216+0i,0.992559088998836+0i,1.00648525495137+0i,0.994071786369257+0i,0.886536916978016+0i,0.998460966475173+0i,0.886536916978016+0i,0.884113479918395+0i
1.99000000000015+0i,1.00000000000031+0i,0.999999999999163+0i,1.00000000000017+0i,0.887361850054091+0i,1.00000000000001+0i,0.887361850054091+0i,0.887361850054141+0i
1.98999999999845+0i,0.999999999997877+0i,1.00000000000664+0i,0.999999999998411+0i,0.88736185005391+0i,0.999999999999845+0i,0.88736185005391+0i,0.88736185005343+0i
1.98999994469062+0i,0.999999930515794+0i,1.00000040041003+0i,0.999999923132241+0i,0.887361842973125+0i,0.999999996598961+0i,0.887361842973125+0i,0.887361822201881+0i
1.77684883566479+0i,0.0139206844613255+0i,1.46293840142452+0i,0.897712365032011+0i,0.886531528869669+0i,0.00325261627313149+0i,0.886531528869669+0i,0.884093496402975+0i
1.9749469608315+0i,0.9673052270824+0i,1.03689223775895+0i,0.987779410792138+0i,0.88653550104769+0i,0.992872792192832+0i,0.88653550104769+0i,0.884107993092147+0i
1.97865397022982+0i,0.992536958169889+0i,1.00643187301876+0i,0.994043499862659+0i,0.886532652067706+0i,0.998450762451923+0i,0.886532652067706+0i,0.884096469270304+0i
1.8+0i,-1.3233976093024e-05+0.00925358636308552i,1.5204775563905-0.0379247808300293i,0.899942991137292+0.00711557379671525i,0.887361850054074+0i,-1.86107410059751e-09-0.000740774558312676i,0.887361850054074+0i,0.887361850054074+0i
1.79999883688195+0i,0.180972901623259+0i,1.41261498932167+0i,0.920677787800289+0i,0.887361824546144+0i,0.41148567408869+0i,0.887361824546144+0i,0.88736174970777+0i
1.98999992993899+0i,0.999999922811197+0i,1.0000004337966+0i,0.999999915973601+0i,0.88736184229517+0i,0.999999996129614+0i,0.88736184229517+0i,0.887361819534484+0i
1.98999993743848+0i,0.999999926699158+0i,1.00000041745244+0i,0.999999919516338+0i,0.887361842633993+0i,0.999999996374188+0i,0.887361842633993+0i,0.887361820869855+0i
1.82135263794223+0i,0.927434956558075+0i,0.98869422180058+0i,0.932481917629862+0i,0.877888754916522+0i,0.971095978197859+0i,0.877888754916522+0i,0.849741185341663+0i
1.97691743632563+0i,0.987290881032143+0i,1.01279897734579+0i,0.992730756979062+0i,0.88653801179143+0i,0.997335655188725+0i,0.88653801179143+0i,0.884117868467464+0i
1.97809792341517+0i,0.992553514263487+0i,1.00637095132503+0i,0.994064745943734+0i,0.886535852194169+0i,0.998458426673048+0i,0.886535852194169+0i,0.8841092257515+0i
1.98999994256476+0i,0.99999992992718+0i,1.00000040259656+0i,0.999999922610277+0i,0.887361842922997+0i,0.999999996560731+0i,0.887361842922997+0i,0.887361822007662+0i
1.99000000000015+0i,0.999999999999915+0i,1.00000000000145+0i,0.999999999999855+0i,0.887361850054072+0i,1.00000000000003+0i,0.887361850054072+0i,0.887361850054065+0i
1.97765919644958+0i,0.992552492230286+0i,1.00631910304507+0i,0.994063531620568+0i,0.886535660236597+0i,0.998457977572074+0i,0.886535660236597+0i,0.884108435546475+0i
1.98999993556937+0i,0.999999925181635+0i,1.00000042454064+0i,0.999999918058648+0i,0.887361842497572+0i,0.999999996286494+0i,0.887361842497572+0i,0.887361820331262+0i
1.82960413457261+0i,0.93142091546535+0i,0.987808284056225+0i,0.933096277470635+0i,0.877888795227457+0i,0.972735421609075+0i,0.877888795227457+0i,0.849741346401935+0i
1.8158212322776+0i,0.902547707872742+0i,0.999070860712714+0i,0.928633370230065+0i,0.877888784370681+0i,0.960875491247763+0i,0.877888784370681+0i,0.849741310754809+0i
1.96858810446259+0i,0.986857972598775+0i,1.01230178395503+0i,0.992669319088949+0i,0.886538564287846+0i,0.9972111541019+0i,0.886538564287846+0i,0.884120077636+0i
1.98999994109949+0i,0.999999928172071+0i,1.00000041087358+0i,0.999999920922173+0i,0.887361842765804+0i,0.999999996460123+0i,0.887361842765804+0i,0.887361821389927+0i
1.98999999999996+0i,0.999999999999909+0i,1.00000000000063+0i,0.999999999999897+0i,0.887361850054068+0i,1+0i,0.887361850054068+0i,0.887361850054045+0i
1.99+0i,0.99999999999999+0i,1.00000000000007+0i,0.999999999999991+0i,0.887361850054074+0i,1+0i,0.887361850054074+0i,0.887361850054074+0i
1.79999915983781+0i,1.40296686344357e-07+0i,1.52017768000734+0i,0.899999863137778+0i,0.887361832178178+0i,3.02781120465154e-08+0i,0.88736183217834+0i,0.887361779714165+0i
1.60502182498547+0i,0.169403722860202+0i,1.16584898493053+0i,0.871464975570064+0i,0.877912787383743+0i,0.0494474991443528+0i,0.877912787383743+0i,0.849843097962604+0i
1.9789914234998+0i,0.992552772717428+0i,1.006485022112+0i,0.994063799337321+0i,0.886535710515005+0i,0.998458087777988+0i,0.886535710515005+0i,0.884108661707865+0i
1.8216900835704+0i,0.864099876160413+0i,1.01738589874362+0i,0.92299372063222+0i,0.877890243744037+0i,0.944331060739769+0i,0.877890243744037+0i,0.849748261149164+0i
1.97766704315315+0i,0.982704716450044+0i,1.0187805363561+0i,0.991533791725732+0i,0.886537668540204+0i,0.996364669872338+0i,0.886537668540204+0i,0.884116480521265+0i
1.98999999999158+0i,0.999999999994516+0i,1.00000000000808+0i,0.999999999996617+0i,0.887361850053641+0i,0.999999999999368+0i,0.887361850053641+0i,0.88736185005237+0i
1.98999994326927+0i,0.999999928482924+0i,1.00000040947926+0i,0.999999921243763+0i,0.887361842794878+0i,0.999999996475434+0i,0.887361842794878+0i,0.887361821502506+0i
