GeneName	 Accession-1	 Left-End-Position	 Right-End-Position	Product	Map to Escherichia coli CFT073
					
G6924	b1706	1789808	1791244	G6924-MONOMER	C2102
G7908	b4294	4518527	4518802	G7908-MONOMER	
G6916	b1690	1771071	1772285	B1690-MONOMER	C2085
G0-10697					
EG12167	b0921	973537	974322	EG12167-MONOMER	C1063
G7509	b2896	3040416	3040823	G7509-MONOMER	C3476
G6763	b1452	1523307	1524368	G6763-MONOMER	C1877
G6418	b0815	851014	852597	G6418-MONOMER	C0901
EG11362	b0144	159186	160112	EG11362-MONOMER	C0177
EG11992	b2115	2196474	2197298	EG11992-MONOMER	
G6474	b0926	983075	983623	G6474-MONOMER	C1068
G7481	b2861	2997235	2997600	MONOMER0-4252	C3612
G6440	b0842	883673	884905	CMR-MONOMER	C0927
G6926	b4494	1803094	1804993	G6926-MONOMER	
EG10862	b3704	3884493	3884852	EG10862-MONOMER	C4628
G0-10633	b4667	2153349	2153408	MONOMER0-2859	
G6330	b0601	634747	635376	G6330-MONOMER	C0689
G6265	b0489	514856	515773	G6265-MONOMER	C0610
G7843	b4166	4392928	4394067	G7843-MONOMER	C5250
G0-10569	b4576	4518721	4519224		
G0-10715	b4705	852869	852997	MONOMER0-4216	C0902
G6212	b0360	381351	381716	G6212-MONOMER	C3612
EG20053	b3691	3870438	3871730	YIDT-MONOMER	C4612
G8221	b4488	3950560	3952204	G8221-MONOMER	C4690
G7199	b2324	2441764	2443770	G7199-MONOMER	C2870
G0-10630	b4664	3194766	3194825	MONOMER0-2856	
G0-10434	b4506	312374	312514	MONOMER0-2656	C0406
G7617	b3103	3252304	3252669	G7617-MONOMER	C3862
EG12044	b2183	2279788	2280483	EG12044-MONOMER	C2720
G7155	b4500	2329798	2334402	G7155-MONOMER	
EG12323	b2244	2356904	2357803	EG12323-MONOMER	C2786
G0-16637	b4710	257923	258426	MONOMER0-4345	C4498
EG12623	b0478	501562	503238	YBAL-MONOMER	C0598
G7243	b2380	2498671	2500368	MONOMER0-4287 // G7243-MONOMER	C2919
G0-10560	b4540	2101396	2101744		
EG11299	b3247	3396326	3397795	EG11299-MONOMER	C4001
G0-10472	b4559	4352908	4353081	MONOMER0-2694	C5136
EG11998	b2119	2204596	2205684	EG11998-MONOMER	C2649
EG10274	b2323	2440385	2441605	FABB-MONOMER	C2869
EG11010	b0737	775153	775845	EG11010-MONOMER	C0816
EG10690	b0143	157729	159126	EG10690-MONOMER	C0176
G6525	b4490	1081356	1082185	MONOMER0-4386	
EG11874	b3920	4111615	4112214	EG11874-MONOMER	C4872
G0-10528		2170236	2171398	MONOMER0-4249	C1224
EG12283	b3579	3746094	3747080	EG12283-MONOMER	C4402
EG11528	b1288	1350251	1351039	ENOYL-ACP-REDUCT-NADH-MONOMER	C1759
					
G7713	b3344	3474973	3475332	G7713-MONOMER	C4118
EG11498	b3262	3411653	3412537	EG11498-MONOMER	C4028
EG11651	b0210	231926	232549	EG11651-MONOMER	C0247
EG11318	b1093	1150670	1151404	3-OXOACYL-ACP-REDUCT-MONOMER	C1187
G6508	b0987	1049439	1049744	G6508-MONOMER	
G7020	b1870	1952702	1953445	G7020-MONOMER	C2284
G7898	b4575	4499593	4500791	G7898-MONOMER	
EG11251	b1214	1267320	1268129	EG11251-MONOMER	C1672
G7904	b4623			G7904-MONOMER	
EG12136	b2077	2161464	2162879	B2077-MONOMER	C2603
EG11208	b4017	4220301	4222487	EG11208-MONOMER	C2118
					
EG30069	b3123	3270216	3270592	RNPB-RNA	
G0-10634	b4687	2700117	2700197	MONOMER0-2860	
EG11134	b1765	1848125	1848676	EG11134-MONOMER	C2168
G6823	b1550	1637609	1637782	G6823-MONOMER	C3176
G6404	b0787	820793	821506	G6404-MONOMER	C0870
EG11921	b4022	4230354	4231226	EG11921-MONOMER	C4988
G7557	b4658	3146856	3147691	G7557-MONOMER	
G7848	b4183	4411302	4411961	G7848-MONOMER	C5267
G7150	b2192	2289065	2290045	MONOMER0-4238	
EG11883	b1429	1500573	1501565	TEHA-MONOMER	C1853
EG12221	b3475	3612969	3613556	EG12221-MONOMER	C4268
G0-16683		258676	259006		
EG11177	b3166	3311833	3312777	EG11177-MONOMER	C3922
G0-10631	b4665	3056890	3056949	MONOMER0-2857	
G7696	b3279	3429236	3429790	G7696-MONOMER	C4040
EG10276	b3256	3405917	3407266	BIOTIN-CARBOXYL-MONOMER	C4012
EG10397	b3424	3560622	3561452	EG10397-MONOMER	C4201
EG10454	b2318	2434824	2435636	EG10454-MONOMER	C2863
					
G7589	b3051	3192864	3194525	G7589-MONOMER	C3799
G6533	b1026	1094275	1095141	MONOMER0-4443	
EG11689	b3662	3840549	3841739	YICM-MONOMER	C4586
EG11531	b1661	1741413	1742561	CFA-MONOMER	C2055
G7389	b4462	2786397	2788649	G7389-MONOMER	
G7641	b3146	3292475	3293335	G7641-MONOMER	C3899
G0-10629	b4666	3195141	3195200	MONOMER0-2855	
G7435	b2769	2894919	2895779	G7435-MONOMER	C3328
EG10247	b2563	2700618	2700998	HOLO-ACP-SYNTH-MONOMER	C3087
EG11613	b4114	4333947	4335590	EG11613-MONOMER	C5119
G6732	b1413	1483061	1486963	G6732-MONOMER	C1840
					
G7214	b2343	2460650	2460934	G7214-MONOMER	C2888
G6146	b0275	291071	291346	MONOMER0-4227	
EG11459	b3795	3980887	3982272	YIFK-MONOMER	C4717
EG11284	b0180	202101	202556	FABZ-MONOMER	C0217
					
EG10961	b2965	3107020	3109155	ORNDECARBOX-BIO-MONOMER	C3553
EG11817	b2744	2869513	2870274	EG11817-MONOMER	C3311
G7027	b1878	1962580	1962972	G7027-MONOMER	C2292
EG12606	b1095	1151939	1153180	3-OXOACYL-ACP-SYNTHII-MONOMER	C1365
G7320	b2512	2637474	2638652	G7320-MONOMER	C3034
EG12882	b2988	3136663	3138522	GSP-MONOMER	C3725
G0-10562	b4549	3366755	3366929		
G6903	b1675	1754932	1755141	G6903-MONOMER	C2069
G0-10544		2996372	2997600	MONOMER0-4257	
EG11104	b0591	622300	623550	YBDA-MONOMER	C0678
EG10277	b1091	1148759	1149712	FABH-MONOMER	C1360
					
EG10962	b0120	134788	135582	SPED-MONOMER // SAMDC-BETA-MONOMER // SAMDC-ALPHA-MONOMER	C0149
G6798	b1511	1598617	1600209	G6798-MONOMER	
G6635	b1267	1324098	1324718	G6635-MONOMER	C1732
EG11647	b0185	208621	209580	CARBOXYL-TRANSFERASE-ALPHA-MONOMER	C0223
G6975	b1789	1874352	1874798	G6975-MONOMER	C2194
EG10959	b2938	3083935	3085911	ARGDECARBOXBIO-MONOMER	C3524
G6460	b0877	918128	919120	G6460-MONOMER	C1012
EG11750	b3411	3543167	3544045	EG11750-MONOMER	C4188
EG10014	b2470	2587595	2590708	ACRD-MONOMER	C2997
EG10273	b0954	1015952	1016470	FABA-MONOMER	C1090
G6842	b1584	1656184	1656744	SPERMACTRAN-MONOMER	C1974
G6271	b0499	527949	528659	G6271-MONOMER	
EG10217	b2316	2433012	2433926	CARBOXYL-TRANSFERASE-BETA-MONOMER	C2861
G7832	b4140	4368664	4369140	G7832-MONOMER	C5223
EG10963	b0121	135598	136464	SPERMIDINESYN-MONOMER	C0150
G0-10652	b4679	2228982	2229065	MONOMER0-2879	
G7894	b4272	4498272	4498637	MONOMER0-4254	C3612
G7198	b2322	2438942	2440120	B2322-MONOMER	
EG11317	b1092	1149728	1150657	MALONYL-COA-ACP-TRANSACYL-MONOMER	C1361
EG10960	b2937	3082877	3083797	AGMATIN-MONOMER	C3522
EG12851	b0643	675018	675500	EG12851-MONOMER	C0734
G36	b3081	3231665	3233683	DIENOYLCOAREDUCT-MONOMER	C3839
EG10952	b2617	2753605	2753946	EG10952-MONOMER	C3139
EG10753	b0692	716946	718265	POTE-MONOMER	C0776
EG12280	b3576	3743743	3744210	EG12280-MONOMER	C4397
G7092	b2030	2101895	2102875	MONOMER0-4237	
G6861	b1605	1679557	1680939	ARCD-MONOMER	C1997
G369	b1071	1129835	1130128	G369-MONOMER	C1340
EG11964	b3602	3776665	3777027	EG11964-MONOMER	C4421
EG11637	b1529	1618243	1618908	EG11637-MONOMER	C1951
EG12308	b2561	2698759	2699607	EG12308-MONOMER	C3085
EG11839	b3873	4061165	4062145	EG11839-MONOMER	C4822
G6377	b0705	736900	737961	G6377-MONOMER	
G6378	b0709	741075	742556	B0709-MONOMER	C0788
EG12116	b0464	485761	486408	EG12116-MONOMER	C0582
EG11603	b3054	3199664	3200965	EG11603-MONOMER	C3802
G7753	b3434	3575071	3575664	G7753-MONOMER	C4221
EG11838	b3872	4060447	4061157	EG11838-MONOMER	C4821
EG11201	b3810	3995583	3996290	EG11201-MONOMER	C4731
G6138	b0264	279178	279681	G6138-MONOMER	
EG13174	b2775	2900592	2901869	B2775-MONOMER	C3333
EG11734	b1020	1084992	1086056	EG11734-MONOMER	C1159
EG11527	b2193	2290500	2291147	PHOSPHO-NARP // NARP-MONOMER	C2730
EG11122	b1254	1312351	1312890	EG11122-MONOMER	C1720
EG11530	b1805	1888061	1889746	ACYLCOASYN-MONOMER	C2209
EG11623	b2797	2929576	2930943	LSERINEDEAM2-MONOMER	C3365
EG11146	b2405	2521593	2522477	EG11146-MONOMER	C2937
G7839	b4158	4385704	4386018	G7839-MONOMER	
G0-10541		381351	382579	MONOMER0-2761	
EG12563	b4321	4549953	4551296	GNTP-MONOMER	C5401
EG11371	b2560	2697915	2698550	EG11371-MONOMER	C3083
EG10977	b3229	3376782	3377420	EG10977-MONOMER	C3982
G7684	b3239	3385857	3386129	G7684-MONOMER	C3994
EG10740	b4041	4254043	4256466	GLYCEROL-3-P-ACYLTRANSFER-MONOMER	C5011
EG11407	b1189	1237571	1238869	DALADEHYDROGA-MONOMER	C1638
EG10839	b3842	4024333	4024821	EG10839-MONOMER	C4789
G7551	b2985	3133244	3133957	G7551-MONOMER	C3722
G7769	b3505	3652182	3653162	MONOMER0-4241	
EG12268	b3547	3710799	3712007	YHJX-MONOMER	C4365
G6551	b1046	1106355	1107776	G6551-MONOMER	C1310
EG10656	b3188	3334909	3335187	EG10656-MONOMER	C3946
G7418	b2737	2862335	2863501	G7418-MONOMER	C3298
EG10704	b0418	436589	437107	PGPPHOSPHAA-MONOMER	C0529
EG11005	b3708	3888730	3890145	TRYPTOPHAN-MONOMER	C4631
EG10359	b0683	710200	710646	PD00260	C0770
G7202	b2331	2448606	2449157	G7202-MONOMER	C2877
G7074	b1994	2066305	2067285	G7074-MONOMER	
EG12034	b2170	2263863	2265044	B2170-MONOMER	C2706
EG11608	b1249	1307185	1308645	CARDIOLIPSYN-MONOMER	C1713
G7727	b3375	3504052	3504783	G7727-MONOMER	
G6998	b1820	1904801	1905259	G6998-MONOMER	C2227
EG11377	b3018	3162744	3163481	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	C3758
EG12407	b0828	866568	867533	MONOMER0-3 // MONOMER0-2 // EG12407-MONOMER	C0913
G7347	b2570	2707322	2707801	G7347-MONOMER	C3094
G6894	b1664	1744871	1746127	G6894-MONOMER	C2058
G0-10538		290649	291346	MONOMER0-4231	
EG11842	b3877	4065809	4067194	YIHP-MONOMER	
EG10775	b4160	4389392	4390360	PSD-MONOMER // PHOSPHASERDECARB-BETA-MONOMER // PHOSPHASERDECARB-ALPHA-MONOMER	C5247
G6976	b1790	1874755	1875576	G6976-MONOMER	C2195
G6608	b1168	1217328	1218851	G6608-MONOMER	C1610
G0-9662	b4517	1052067	1052240	MONOMER0-1701	C1125
G6942	b1746	1828256	1829734	SUCCGLUALDDEHYD-MONOMER	C2146
G6673	b1341	1406563	1407795	G6673-MONOMER	C1815
G6434	b0834	875335	876663	G6434-MONOMER	C0919
G7672	b3218	3365702	3366682	MONOMER0-4240	
EG11658	b1616	1692890	1694263	UIDB-MONOMER	C2008
EG10139	b0175	195677	196534	CDPDIGLYSYN-MONOMER	C0212
G6319	b0571	594760	595443	MONOMER0-4180 // G6319-MONOMER	C0657
G7729	b3377	3506032	3507336	G7729-MONOMER	C4147
G6252	b0457	477067	478617	G6252-MONOMER	C0575
EG11674	b3059	3204694	3205311	EG11674-MONOMER	C3809
EG10930	b1814	1896932	1898296	LSERINEDEAM1-MONOMER	C2219
EG13161	b2364	2476694	2477629	PD00297	C2899
G0-10648	b4675	1878874	1878948	MONOMER0-2875	
G6725	b1404	1469358	1470509	G6725-MONOMER	C4506
EG11392	b1186	1233176	1234717	NHAB-MONOMER	C1634
EG11437	b1090	1147621	1148691	EG11437-MONOMER	C1359
EG12278	b3574	3741684	3742532	EG12278-MONOMER	C4395
G7282	b2452	2566881	2568107	G7282-MONOMER	C2977
EG12708	b0527	556032	556553	EG12708-MONOMER	C0643
EG10781	b2585	2722727	2724082	PHOSPHASERSYN-MONOMER	C3110
EG10045	b1767	1850860	1851876	ANSA-MONOMER	C2171
EG12105	b2157	2248737	2249618	EG12105-MONOMER	C2692
EG12263	b3536	3696458	3698029	EG12263-MONOMER	C4348
G6296	b0540	566842	567141	MONOMER0-4243	C1225
EG11041	b1907	1989681	1990892	TYRP-MONOMER	C2323
EG10706	b1912	1992269	1992817	PHOSPHAGLYPSYN-MONOMER	C2325
EG11741	b3264	3412803	3413465	EG11741-MONOMER	C4030
G6465	b0891	937372	937983	G6465-MONOMER	C1028
EG11941	b4066	4281783	4283075	EG11941-MONOMER	
G6406	b0789	822498	823739	G6406-MONOMER	C0872
G6943	b1747	1829731	1830765	ARGSUCCTRAN-MONOMER	C2147
EG11449	b4480	3947128	3947967	EG11449-MONOMER	C4685
EG11806	b1846	1929048	1929707	EG11806-MONOMER	C2258
G6085	b0021	19811	20314	G7762-MONOMER	C4498
EG10578	b4120	4343369	4344790	MELB-MONOMER	
EG10224	b4042	4256637	4257005	DIACYLGLYKIN-MONOMER	C5013
EG11103	b0535	563848	564480	EG11103-MONOMER	
EG11977	b1950	2022893	2023678	EG11977-MONOMER	C2367
EG11526	b1460	1531816	1532952	EG11526-MONOMER	C1893
EG10964	b0693	718262	720460	ORNDECARBOXDEG-MONOMER	C0777
EG10958	b4062	4277060	4277383	PD00406	C5053
EG11187	b3594	3766337	3767179	EG11187-MONOMER	
G0-10535		19811	20508	MONOMER0-2755	
G7542	b2975	3119597	3121279	B2975-MONOMER	C3704
EG10820	b1951	2023968	2024591	PD02233	C2369
G7709	b3331	3462344	3462931	G7709-MONOMER	C4102
EG11097	b0410	430605	430952	EG11097-MONOMER	C0520
G6940	b1744	1825955	1826923	SUCCGLUDESUCC-MONOMER	C2144
EG10603	b2684	2810770	2811300	EG10603-MONOMER	C3237
G7951	b4377	4612411	4613484	G7951-MONOMER	C5460
G7548	b2982	3130214	3131194	MONOMER0-4239	
G7115	b2076	2158386	2161463	B2076-MONOMER	C2602
EG10466	b4000	4200281	4200553	EG10466-MONOMER	C4957
G7190	b2298	2417081	2418601	G7190-MONOMER	C2841
G7828	b4126	4351843	4352073	G7828-MONOMER	C5133
EG10168	b0657	689343	690881	EG10168-MONOMER	C0742
EG10046	b2957	3099682	3100728	ANSB-MONOMER	C3543
EG10325	b1334	1398774	1399526	PD00197	C1807
G7674	b3220	3367827	3368954	G7674-MONOMER	
G6213	b0361	381674	382579	G7480-MONOMER	C3611
G6854	b1596	1669699	1670952	B1596-MONOMER	C1987
G6250	b0453	475379	475951	G6250-MONOMER	C0572
EG10164	b3357	3486120	3486752	PD00257	C4132
G6443	b0845	886131	887339	G6443-MONOMER	C0930
G7529	b2953	3096383	3096673	G7529-MONOMER	C3539
G7137	b2105	2185524	2185796	G7137-MONOMER	C2632
EG11276	b3707	3888435	3888509	EG11276-MONOMER	C5499
G7948	b4366	4604160	4604837	G7948-MONOMER	C5445
G7396	b2666	2796870	2797028	G7396-MONOMER	C3215
G0-16638	b4709	258345	258620	MONOMER0-4346	C4503
G6280	b0511	537633	539087	B0511-MONOMER	C0625
EG11811	b4187	4414275	4415900	EG11811-MONOMER	C5275
G7630	b3131	3277856	3278665	G7630-MONOMER	C3886
EG11895	b2013	2084467	2085525	EG11895-MONOMER	
G7173	b2266	2380722	2381027	G7173-MONOMER	C2810
EG11320	b0413	433002	433451	EG11320-MONOMER	C0523
EG10249	b2366	2479202	2480530	DSERDEAM-MONOMER	C2901
G7308	b2491	2611900	2613912	G7308-MONOMER	
G6983	b1797	1879589	1879948	G6983-MONOMER	C2204
G0-10529		391739	392901	MONOMER0-4246	C1224
EG12539	b4265	4491206	4492525	YJGT-MONOMER	C5366
EG10315	b4320	4548808	4549710	EG10315-MONOMER	C5400
G6882	b1642	1720390	1720824	G6882-MONOMER	C2034
G7706	b3328	3461023	3461460	G7706-MONOMER	C4099
G6870	b1626	1705250	1705690	G6870-MONOMER	C2018
G6547	b1041	1103951	1104406	G6547-MONOMER	C1305
G7624	b4471	3258285	3259649	LSERINEDEAM3-MONOMER	C3870
G6658	b1320	1382963	1383961	G6658-MONOMER	C1792
G6560	b1068	1126806	1127729	G6560-MONOMER	
G7905	b4284	4507466	4508617	MONOMER0-4233	C4506
EG12241	b3514	3660414	3663527	YHIV-MONOMER	C4325
EG12094	b0069	75644	77299	EG12094-MONOMER	C0085
G6263	b0487	513993	514400	G6263-MONOMER	C0607
G7108	b2063	2137902	2139485	G7108-MONOMER	C2590
G6413	b0804	838530	839207	G6413-MONOMER	C0889
G6494	b0959	1021138	1021767	G6494-MONOMER	C1096
G6941	b1745	1826916	1828259	SUCCARGDIHYDRO-MONOMER	C2145
EG12694	b3060	3205324	3206256	MONOMER0-4119 // EG12694-MONOMER	C3810
G6186	b0321	338325	339743	G6186-MONOMER	C4765
G7255	b2394	2514331	2515443	G7255-MONOMER	
EG11821	b0451	472966	474252	AMTB-MONOMER	C0570
G361	b1076	1132574	1133782	G361-MONOMER	C1345
EG12243	b3516	3664986	3665810	EG12243-MONOMER	C4327
G6282	b0513	540565	541866	G6282-MONOMER	C0627
G0-10643	b4678	2087052	2087114	MONOMER0-2870	
EG10841	b1924	2003872	2005278	EG10841-MONOMER	C2339
G7287	b2457	2572157	2572450	G7287-MONOMER	C2982
EG11969	b3292	3438705	3439130	EG11969-MONOMER	C4053
EG12379	b1868	1951395	1952213	EG12379-MONOMER	C2282
G6534	b1027	1095138	1095437	MONOMER0-4244	C1225
EG11616	b4148	4376875	4377192	SUGE-MONOMER	C5236
G358	b1073	1131018	1131434	FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN	C1342
EG11711	b3684	3863899	3864615	EG11711-MONOMER	C1960
EG11671	b2223	2324756	2326078	EG11671-MONOMER	C2766
EG12251	b3524	3676290	3678350	EG12251-MONOMER	C4335
EG10322	b1944	2019618	2020082	EG10322-MONOMER	C2361
EG12257	b3530	3685700	3689173	EG12257-MONOMER	C4342
EG11421	b0338	357791	358690	PD00291	
EG11936	b4057	4270658	4271014	EG11936-MONOMER	C5047
G6168	b0298	315291	315590	G6534-MONOMER	C1225
EG11019	b3290	3436518	3437894	TRKA-MONOMER	C4050
EG11975	b1948	2021869	2022606	EG11975-MONOMER	C2365
EG11083	b0059	60358	63264	EG11083-MONOMER	C0070
G7703	b3325	3456377	3458329	G7703-MONOMER	C4096
EG11743	b1495	1575247	1577619	EG11743-MONOMER	C1924
G378	b1942	2017946	2018389	G378-MONOMER	C2359
G7292	b2462	2575470	2575805	G7292-MONOMER	C2987
EG10899	b3649	3822106	3822381	EG10899-MONOMER	C4474
EG11516	b1188	1235709	1237241	EG11516-MONOMER	C1637
G0-10545		3186187	3187415	MONOMER0-4258	
EG10521	b0047	47769	49631	KEFC-MONOMER	C0057
EG11654	b1939	2014880	2015875	FLIG-FLAGELLAR-SWITCH-PROTEIN	C2355
EG10562	b3418	3553085	3555790	PD00237	C4196
G6984	b1798	1880121	1880759	G6984-MONOMER	C2205
EG11174	b3121	3268415	3269602	EG11174-MONOMER	
G365	b1080	1136274	1137371	FLGI-FLAGELLAR-P-RING	C1349
G6415	b0806	841796	842056	G6415-MONOMER	C0891
EG10125	b0435	454472	454789	MONOMER0-4536 // EG10125-MONOMER	C0548
EG10083	b0390	407428	408105	EG10083-MONOMER	C0498
G0-10430	b4516	1049833	1050108	MONOMER0-4228	
G7501	b2882	3024351	3025751	YGFO-MONOMER	C3460
EG11388	b1925	2005303	2005713	EG11388-MONOMER	C2340
G7913	b4300	4526106	4526888	G7913-MONOMER	
EG13217	b0445	465612	467312	EG13217-MONOMER	C0561
G7930	b4333	4562743	4563603	G7930-MONOMER	C5415
G362	b1077	1133802	1134557	FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN	C1346
G7146	b2174	2268854	2269567	G7146-MONOMER	C2711
G7575	b3025	3169828	3170487	MONOMER0-2741 // G7575-MONOMER	C3764
					
G7895	b4273	4498595	4499500	MONOMER0-4451	C3611
G7067	b1981	2053643	2054959	SHIA-MONOMER	C2443
EG11224	b1947	2021504	2021869	EG11224-MONOMER	C2364
G7245	b2382	2501130	2501987	G7245-MONOMER	C2921
EG11536	b3685	3864612	3866273	EG11536-MONOMER	C4604
G7620	b3106	3254319	3255020	G7620-MONOMER	C3864
G359	b1074	1131438	1131842	FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN	C1343
G6852	b1594	1667344	1668564	PD01896	C1985
G7515	b2915	3059381	3059611	G7515-MONOMER	C3496
G7125	b2088	2170236	2170535	MONOMER0-4245	C1225
G6764	b1453	1524481	1525980	ANSP-MONOMER	C1878
EG10323	b1945	2020087	2021091	FLIM-FLAGELLAR-C-RING-SWITCH	C2362
G6628	b1201	1251066	1252985	G6628-MONOMER	C1659
G7946	b4364	4602088	4602858	G7946-MONOMER	C5443
G7338	b2544	2673816	2674688	G7338-MONOMER	C3066
EG11976	b1949	2022616	2022885	EG11976-MONOMER	C2366
G6227	b0378	397872	398966	G6227-MONOMER	C0483
G7148	b2176	2270726	2272282	G7148-MONOMER	C2713
G6139	b0265	279600	279875	G6139-MONOMER	
G6241	b0427	445302	446666	B0427-MONOMER	C0538
G379	b1943	2018386	2019513	G379-MONOMER	C2360
G6195	b0330	346857	348443	G6195-MONOMER	C0450
G6859	b1601	1673913	1674947	G6859-MONOMER	C1993
G6966	b1780	1863850	1864734	G6966-MONOMER	C2185
EG11656	b1940	2015868	2016554	EG11656-MONOMER	C2357
EG12428	b3782	3966231	3966332	EG12428-MONOMER	C5501
G6808	b1522	1610907	1611854	G6808-MONOMER	C1945
G0-10542		1467921	1469149	MONOMER0-4255	
EG12760	b3127	3273573	3274907	YHAU-MONOMER	C3882
G366	b1081	1137371	1138312	G366-MONOMER	C1350
EG12204	b1823	1907226	1907435	EG12204-MONOMER	C2231
EG12376	b2410	2526946	2527944	EG12376-MONOMER	C2943
G6506	b0985	1047945	1048691	G6506-MONOMER	
G363	b1078	1134729	1135511	FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN	C1347
EG11962	b3604	3779054	3779830	EG11962-MONOMER	C4426
G6098	b0190	214291	214836	G6098-MONOMER	C0229
G7776	b3557	3720680	3721201	G7776-MONOMER	C0359
EG12469	b4130	4354954	4356411	YJDL-MONOMER	C5139
EG11346	b1937	2012700	2013014	EG11346-MONOMER	C2353
EG11649	b0208	229967	230881	EG11649-MONOMER	C0245
EG11141	b1959	2029539	2030459	EG11141-MONOMER	C2378
G0-10456	b4538	2078575	2078931	MONOMER0-2678	
G360	b1075	1131854	1132549	G360-MONOMER	C1344
EG11355	b1922	2001070	2001789	EG11355-MONOMER	C2337
EG12365	b3355	3484490	3485359	EG12365-MONOMER	C4130
G7076	b1996	2068952	2069857	MONOMER0-4446	C3611
EG12219	b3473	3610516	3611733	YHHS-MONOMER	C4266
EG10324	b1946	2021088	2021501	FLIN-FLAGELLAR-C-RING-SWITCH	C2363
EG11051	b3669	3850136	3850726	PHOSPHO-UHPA // UHPA-MONOMER	C4593
G7745	b3402	3530715	3532439	G7745-MONOMER	C4173
EG12139	b2555	2688793	2689506	EG12139-MONOMER	C3078
G357	b1072	1130204	1130863	G357-MONOMER	C1341
EG10896	b3067	3213047	3214888	RPOD-MONOMER	C3819
EG11922	b4023	4231359	4231631	EG11922-MONOMER	C4989
G6327	b0582	608065	609177	MONOMER0-4232	
EG11953	b4081	4301027	4303078	YJCQ-MONOMER	C5086
EG10321	b1923	2002110	2003606	EG10321-MONOMER	C2338
EG10547	b0889	932595	933089	PD00353	C1026
G7526	b2950	3094100	3095080	G7526-MONOMER	C3536
EG11713	b3689	3868062	3869309	EG11713-MONOMER	C4609
G370	b1879	1962972	1965050	G370-MONOMER	C2293
EG10291	b4293	4517714	4518235	PD00440	
EG11410	b4234	4457314	4457865	EG11410-MONOMER	C5332
G0-10539		1978518	1979215	MONOMER0-4229	
EG11724	b3714	3895272	3896609	EG11724-MONOMER	C4637
G364	b1079	1135564	1136262	FLGH-FLAGELLAR-L-RING	C1348
EG10111	b0313	328747	329334	PD00251	C0433
G6544	b1038	1101711	1102127	G6544-MONOMER	C1300
EG11157	b2840	2979943	2980635	EG11157-MONOMER	C3437
EG11347	b1938	2013229	2014887	FLIF-FLAGELLAR-MS-RING	C2354
G6645	b1298	1361120	1361884	G6645-MONOMER	
G7882	b4251	4474124	4474717	G7882-MONOMER	
G7872	b4217	4439587	4439793	G7872-MONOMER	C5315
G7761	b3444	3583483	3583758	MONOMER0-4226	C4503
EG11561	b0040	40417	41931	CAIT-MONOMER	C0049
EG10510	b2741	2866559	2867551	RPOS-MONOMER	C3306
G7547	b2981	3129043	3130215	G7547-MONOMER	C3711
EG12024	b2142	2231019	2231714	EG12024-MONOMER	C2674
G7733	b3381	3509813	3510976	G7733-MONOMER	C4151
EG11489	b1042	1104447	1104902	EG11489-MONOMER	C1306
G7289	b2459	2573502	2574305	G7289-MONOMER	C2984
G7133	b2101	2182035	2182781	G7133-MONOMER	C2628
G7612	b3098	3249375	3249680	G7612-MONOMER	C3856
G7029	b1893	1978518	1979021	MONOMER0-4445	C4498
EG11313	b3907	4099491	4100525	RHAT-MONOMER	C4857
G6548	b1043	1104961	1105293	G6548-MONOMER	C1307
G6799	b1512	1600288	1601241	G6799-MONOMER	C4987
G7710	b3332	3462924	3463907	G7710-MONOMER	C4103
G7484	b2865	2999136	2999891	G7484-MONOMER	C3443
G7601	b3082	3233728	3234144	G7601-MONOMER	C3840
EG50007	b2440	2556410	2557297	EUTC-MONOMER	C2974
G6467	b0900	948660	949568	G6467-MONOMER	
G7298	b2475	2595874	2596737	G7298-MONOMER	C3003
G6297	b0541	567138	568004	MONOMER0-4442	
EG10802	b1015	1079305	1080813	PUTP-MONOMER	C1154
G6774	b1477	1552398	1552682	G6774-MONOMER	C1909
G6170	b0300	316450	317136	G6170-MONOMER	C0416
G7233	b2368	2482176	2483339	G7233-MONOMER	C2904
G7087	b2007	2079032	2079361	G7087-MONOMER	C2534
EG12179	b0623	657292	657501	EG12179-MONOMER	C0714
G7283	b2453	2568324	2569511	G7283-MONOMER	C2978
EG12356	b3422	3558268	3559866	EG12356-MONOMER	C4199
G6948	b1753	1835515	1836063	G6948-MONOMER	C2154
G6086	b0022	20233	20508	G6086-MONOMER	C4503
EG10250	b2365	2477847	2479184	DSDX-MONOMER	C2900
G6745	b1434	1506172	1506708	G6745-MONOMER	C1858
EG12176	b4135	4362733	4363308	EG12176-MONOMER	C5217
G6445	b0847	888134	889819	G6445-MONOMER	C0980
G6769	b1462	1533282	1533851	G6769-MONOMER	C1894
G7397	b2667	2797211	2797510	G7397-MONOMER	C3216
G7271	b2439	2555741	2556400	G7271-MONOMER	C2973
EG11897	b2573	2709437	2710012	RPOE-MONOMER	C3097
G6496	b0961	1023902	1024348	G6496-MONOMER	C1098
G0-10536		1049833	1050530	MONOMER0-2756	
G7437	b2771	2896533	2897870	B2771-MONOMER	C3330
G6569	b1111	1168200	1168832	G6569-MONOMER	C1385
