GeneName	 Accession-1	 Left-End-Position	 Right-End-Position	Product	Map to Escherichia coli CFT073
G6844	b1586	1657565	1657870	G6844-MONOMER	C1976
EG10258	b2779	2906643	2907941	ENOLASE-MONOMER	C3344
G6429	b0829	867520	869391	YLIA-MONOMER	C0914
EG30012	b2396	2518041	2518116	alaX-tRNA	
EG11250	b4224	4448447	4448698	EG11250-MONOMER	
G6469	b0906	956762	957454	G6469-MONOMER	C1044
EG11162	b2929	3074686	3075195	EG11162-MONOMER	C3512
EG12253	b3526	3679419	3680348	DEOXYGLUCONOKIN-MONOMER	C4337
G6391	b0748	781369	781444	RNA0-302	
EG12865	b1426	1498651	1498875	EG12865-MONOMER	C1850
EG12304	b1291	1352636	1353628	SAPD-MONOMER	C1768
G7947	b4365	4603477	4604202	G7947-MONOMER	C5444
EG30102	b3976	4175388	4175463	thrU-tRNA	
G0-9121	b4539	2089211	2089465	MONOMER0-1041	C2544
EG11999	b2120	2205695	2207974	EG11999-MONOMER	C2650
EG11733	b3755	3940635	3941327	EG11733-MONOMER	C4683
EG10971	b2705	2827737	2828516	SORB6PDEHYDROG-MONOMER	C3259
EG30059	b0666	696664	696740	metU-tRNA	
EG11659	b1928	2007677	2008090	EG11659-MONOMER	C2343
G6266	b0490	515919	516596	YBBL-MONOMER	C0611
G7656	b3183	3330582	3331754	G7656-MONOMER	C3940
EG30043	b3852	4037141	4037217	ileT-tRNA	
EG12844	b2017	2089462	2089713	EG12844-MONOMER	C2545
G7471	b2851	2991268	2991759	G7471-MONOMER	
G7467	b2847	2988502	2989311	G7467-MONOMER	
EG10700	b1723	1806370	1807299	6PFK-2-MONOMER	C2121
EG30025	b0216	236931	237007	aspV-tRNA	
G7025	b1875	1959280	1959846	G7025-MONOMER	C2290
EG12078	b3479	3617015	3617779	NIKD-MONOMER	C4272
EG11356	b1921	2000473	2001024	EG11356-MONOMER	C2336
EG30009	b3276	3426958	3427033	alaU-tRNA	
G7428	b2758	2881051	2882142	G7428-MONOMER	
G6809	b1523	1611966	1612325	G6809-MONOMER	C1946
EG12151	b1991	2063388	2064467	DMBPPRIBOSYLTRANS-MONOMER	C2477
G7919	b4309	4536614	4537594	G7919-MONOMER	C5387
EG31117	b2815	2947497	2947573	metW-tRNA	
G6371	b0682	709790	710116	G6371-MONOMER	C0769
EG10713	b4106	4324377	4325165	PHNC-MONOMER	C5111
EG10128	b1709	1792809	1793558	BTUD-MONOMER	C2105
EG30096	b0883	925884	925971	serW-tRNA	
EG11244	b2922	3067340	3068080	EG11244-MONOMER	C3500
EG12605	b0119	134388	134750	EG12605-MONOMER	C0148
EG13238	b1993	2065219	2065764	COBU-MONOMER	C2479
G6718	b1397	1460893	1462098	G6718-MONOMER	
EG30056	b2404	2521253	2521328	lysV-tRNA	
EG11903	b3944	4137040	4137657	EG11903-MONOMER	C4902
EG12837	b3271	3422436	3423194	YHDZ-MONOMER	C4037
EG10130	b1270	1327767	1328357	COBALADENOSYLTRANS-MONOMER	C1735
EG30040	b4164	4392472	4392547	glyX-tRNA	
G6334	b0607	641439	641867	G6334-MONOMER	C0696
EG11537	b1067	1126157	1126804	EG11537-MONOMER	C1334
G6349	b0638	669296	669907	RIBAZOLEPHOSPHAT-MONOMER	C0729
EG20049	b4477	3872995	3873612	DEHYDDEOXPHOSGALACT-ALDOL-MONOMER	C4777
EG30022	b1989	2062260	2062335	asnV-tRNA	
G7870	b4215	4437707	4438645	G7870-MONOMER	
EG12010	b2129	2216481	2217407	YEHX-MONOMER	C2659
EG12150	b1992	2064479	2065222	COBS-MONOMER	C2478
EG11268	b3288	3434214	3435161	EG11268-MONOMER	C4048
EG12845	b2754	2878569	2878853	EG12845-MONOMER	
G7357	b2618	2754008	2754298	G7357-MONOMER	C3140
EG10127	b1711	1794172	1795152	BTUC-MONOMER	C2107
EG11868	b3904	4095979	4097448	RHAMNULOKIN-MONOMER	C4853
EG30112	b1666	1746516	1746592	valW-tRNA	
G7001	b1825	1908261	1908548	G7001-MONOMER	C2233
EG10592	b2149	2237769	2239289	MGLA-MONOMER	C2683
G0-9941	b4577	77367	77593	RNA0-241	
EG30093	b0971	1031625	1031712	serT-tRNA	
EG11933	b4050	4262840	4263082	EG11933-MONOMER	C5019
G6705	b1383	1445880	1446206	G6705-MONOMER	C1830
G0-9606	b4422	1269858	1269923	RNA0-162	
EG11101	b0476	499014	499973	EG11101-MONOMER	C0596
EG30053	b4270	4496405	4496489	leuX-tRNA	
G6351	b0644	675570	676547	G6351-MONOMER	
G6951	b1756	1838747	1839400	YNJD-MONOMER	C2157
G0-9608	b4424	1270393	1270460	RNA0-163	
EG30037	b2864	2998984	2999057	glyU-tRNA	
EG10181	b0429	447717	448046	CYOD-MONOMER	C0540
EG12422	b0802	837665	837925	EG12422-MONOMER	C0886
G0-9581	b4413	16952	17010	RNA0-141	
EG10616	b3600	3774424	3775572	MANNPDEHYDROG-MONOMER	C4417
EG30019	b2692	2818059	2818135	argZ-tRNA	
EG11830	b3858	4042069	4042338	EG11830-MONOMER	C4802
EG12628	b3540	3701864	3702868	DPPF-MONOMER	C4355
G0-9611	b4429	1492119	1492175	RNA0-165	
EG30109	b0744	780765	780840	valT-tRNA	
EG10648	b1468	1538850	1542590	NARZ-MONOMER	C1900
EG11287	b2732	2856453	2856806	EG11287-MONOMER	C3293
G0-9603	b4420	1269323	1269389	RNA0-161	
M014	b0351	372921	373871	MHPF-MONOMER	
EG30067	b2189	2286211	2286287	proL-tRNA	
G7838	b4157	4385393	4385707	G7838-MONOMER	
EG11657	b0495	519733	520419	YBBA-MONOMER	C0616
