0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
1.98999994438597+0i,0.999999931183687+0i,1.00000039750539+0i,0.999999923725709+0i,0.887361843030744+0i,0.999999996642089+0i,0.887361843030744+0i,0.887361822431036+0i
1.97938807675691+0i,0.992560764666687+0i,1.00654438781607+0i,0.994074065070476+0i,0.886537249344248+0i,0.998461777009784+0i,0.886537249344248+0i,0.884114771950675+0i
1.9899999999987+0i,0.999999999998448+0i,1.00000000000405+0i,0.999999999998931+0i,0.887361850053958+0i,0.999999999999872+0i,0.887361850053958+0i,0.887361850053616+0i
1.9899999999974+0i,0.999999999996739+0i,1.00000000000854+0i,0.999999999997682+0i,0.887361850053818+0i,0.999999999999714+0i,0.887361850053818+0i,0.887361850053073+0i
1.98999994340608+0i,0.999999928129041+0i,1.00000041179614+0i,0.999999920830278+0i,0.887361842758652+0i,0.999999996462147+0i,0.887361842758652+0i,0.887361821358006+0i
1.77683045899442+0i,0.0126484030704911+0i,1.46421099707288+0i,0.897325211131562+0i,0.886531572373077+0i,0.00291056645498839+0i,0.886531572373077+0i,0.884093858702107+0i
1.978059073501+0i,0.992576739111608+0i,1.00637581558948+0i,0.994094299306363+0i,0.886540318352638+0i,0.998469097432568+0i,0.886540318352638+0i,0.884127073622638+0i
1.97868900466391+0i,0.992528430850087+0i,1.00643171275986+0i,0.994032647536534+0i,0.886531020739978+0i,0.998446861920442+0i,0.886531020739978+0i,0.884089977307513+0i
1.8+0i,-3.95389619444052e-17+0.000366728647776386i,1.5201842056817-0.0016693257530333i,0.899999385104894+0.000321020706686999i,0.887361850054074+0i,-8.31874974366052e-18+0i,0.887361850054074+0i,0.887361850054075+0i
1.79999917096826+0i,1.05934703133862e-07+0i,1.52017775833562+0i,0.899999854837233+0i,0.887361832449348+0i,2.22888856227399e-08+0i,0.887361832449431+0i,0.887361780816364+0i
1.98999993382392+0i,0.999999925745324+0i,1.00000042175047+0i,0.99999991858903+0i,0.887361842547638+0i,0.999999996320052+0i,0.887361842547638+0i,0.887361820527232+0i
1.98999993926587+0i,0.999999927053244+0i,1.00000041612551+0i,0.999999919834825+0i,0.887361842664555+0i,0.999999996396564+0i,0.887361842664555+0i,0.887361820989508+0i
1.83214530988148+0i,0.944985707526781+0i,0.981906670708552+0i,0.935212279506338+0i,0.877888682255422+0i,0.97825107996178+0i,0.877888682255422+0i,0.849740874713842+0i
1.97819337773743+0i,0.992565755527401+0i,1.0063864865662+0i,0.994080301631422+0i,0.886538210105183+0i,0.998464056492365+0i,0.886538210105183+0i,0.884118667703284+0i
1.97822352190782+0i,0.992540622259136+0i,1.00637775657972+0i,0.994048211389252+0i,0.886533361403945+0i,0.998452462740402+0i,0.886533361403945+0i,0.884099292924851+0i
1.98999994334884+0i,0.999999928745378+0i,1.00000040844078+0i,0.999999921468324+0i,0.88736184281705+0i,0.999999996493627+0i,0.88736184281705+0i,0.887361821590865+0i
1.99000000000097+0i,1.00000000000055+0i,1.00000000000067+0i,1.00000000000027+0i,0.887361850054129+0i,1.00000000000012+0i,0.887361850054129+0i,0.887361850054287+0i
1.97777907070248+0i,0.99254025707534+0i,1.00632409527402+0i,0.994047843321373+0i,0.886533302798104+0i,0.998452331370899+0i,0.886533302798104+0i,0.884099052050476+0i
1.98999994038197+0i,0.999999930015418+0i,1.00000040258922+0i,0.999999922612403+0i,0.887361842926006+0i,0.999999996573915+0i,0.887361842926006+0i,0.887361822015802+0i
1.83816603070629+0i,0.944985707866556+0i,0.98248672916644+0i,0.935212396181834+0i,0.877888696727558+0i,0.9782511239105+0i,0.877888696727558+0i,0.849740925615945+0i
1.82866619719028+0i,0.944985554885253+0i,0.981596212927859+0i,0.935217124639011+0i,0.87788935729432+0i,0.978253035043455+0i,0.87788935729432+0i,0.849743669313494+0i
1.97430946068893+0i,0.992566887093423+0i,1.00601562006603+0i,0.994081695974459+0i,0.886538424045682+0i,0.998464562562093+0i,0.886538424045682+0i,0.884119533060228+0i
1.98999994673737+0i,0.99999993222452+0i,1.00000039293353+0i,0.999999924710033+0i,0.887361843123282+0i,0.99999999670357+0i,0.887361843123282+0i,0.887361822795747+0i
1.9899999999928+0i,0.999999999990632+0i,1.0000000000234+0i,0.999999999993849+0i,0.887361850053386+0i,0.999999999999255+0i,0.887361850053386+0i,0.88736185005135+0i
1.99000000000015+0i,0.999999999998356+0i,1.00000000001197+0i,0.999999999998501+0i,0.887361850053996+0i,1.00000000000015+0i,0.887361850053996+0i,0.887361850053769+0i
1.79999915127494+0i,1.08815954577685e-07+0i,1.52017768787382+0i,0.899999851226344+0i,0.887361832020669+0i,2.29510598995007e-08+0i,0.887361832020543+0i,0.887361779093327+0i
1.74299249332163+0i,0.930791503191295+0i,0.982219759972173+0i,0.932943072419011+0i,0.877894333960475+0i,0.972698518413612+0i,0.877894333960475+0i,0.849764523303802+0i
1.97920863618251+0i,0.992555835338052+0i,1.0065167431359+0i,0.994067848910548+0i,0.886536299177156+0i,0.998459514535666+0i,0.886536299177156+0i,0.884110944563465+0i
1.83951760884421+0i,0.94498537305243+0i,0.982631771744012+0i,0.93522216553754+0i,0.877890067975716+0i,0.97825508370732+0i,0.877890067975716+0i,0.849746655549492+0i
1.97878865992869+0i,0.99229243772398+0i,1.00683499115567+0i,0.994017573354897+0i,0.886540223564514+0i,0.998410792816563+0i,0.886540223564514+0i,0.884126623832121+0i
1.99+0i,0.999999999998128+0i,1.00000000001197+0i,0.999999999998362+0i,0.887361850053974+0i,1.00000000000011+0i,0.887361850053974+0i,0.887361850053683+0i
1.98999994871988+0i,0.999999934324889+0i,1.00000038312952+0i,0.999999926723437+0i,0.887361843311225+0i,0.999999996825213+0i,0.887361843311225+0i,0.887361823534253+0i
1.98999994599776+0i,0.999999931874309+0i,1.00000039417667+0i,0.999999924417463+0i,0.887361843094285+0i,0.999999996679463+0i,0.887361843094285+0i,0.887361822681396+0i
1.76332232954068+0i,0.944985473176982+0i,0.977681536604437+0i,0.935218826059802+0i,0.877889600038948+0i,0.978253731099883+0i,0.877889600038948+0i,0.849744712585788+0i
