0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
259.935938956539+0i,259.935946076599+0i,2.25511437902183e-06+0i,2.25521681205166e-06+0i,130.477779419048+0i,129.458168160376+0i,67.4689991835054+0i,67.4689991771787+0i,61.9891689689939+0i,61.9891689757696+0i,67.4689991940079+0i
560.644545386738+0i,559.904566194236+0i,0.79974167198844+0i,0.799739739241268+0i,280.66828565756+0i,280.034395214051+0i,146.244374069153+0i,146.244374433294+0i,133.790022971079+0i,133.79003886547+0i,146.24440111014+0i
109.96627496738+0i,109.966274967392+0i,1.34178565676551e-13+0i,1.3416445419072e-13+0i,55.1988135435819+0i,54.7674614238121+0i,28.5428551121426+0i,28.5428551895272+0i,26.2246062342849+0i,26.2246062342849+0i,28.5428551896937+0i
309.987813679774+0i,309.987813679809+0i,6.12975699163559e-13+0i,6.12885787745513e-13+0i,155.601883697236+0i,154.385929982581+0i,80.4604618566989+0i,80.4604618916547+0i,73.9254680909264+0i,73.9254680909264+0i,80.4604618917243+0i
459.962537426687+0i,459.962527743002+0i,4.39289452570842e-06+0i,4.39290010715963e-06+0i,230.883370900008+0i,229.07914717954+0i,119.387915231112+0i,119.38791528291+0i,109.691231819112+0i,109.691231852917+0i,119.387915324617+0i
23.4505844348975+0i,23.2468065729358+0i,0.217374716777569+0i,0.217400573691627+0i,1.80369208003591+0i,21.6604212912786+0i,1.34893015062157+0i,11.3120857887481+0i,10.3485085016203+0i,10.3485952954598+0i,1.34893826534351+0i
210.179244763634+0i,209.885523628654+0i,0.300386237330394+0i,0.300384831328511+0i,105.212540104865+0i,104.97577682367+0i,54.8223381836214+0i,54.8224563915696+0i,50.1533131412623+0i,50.1533164787053+0i,54.8224657841021+0i
460.506386075351+0i,459.979870035242+0i,0.657070116922521+0i,0.657069066573403+0i,230.578570487995+0i,230.057889136692+0i,120.14475434515+0i,120.14480526285+0i,109.913088014955+0i,109.913111424165+0i,120.144853239168+0i
-3.63340513874792e-14+3.54402224495184e-07i,9.71084155277378e-15+4.46683481084387e-21i,-6.40632340020726e-31+1.3998739212121e-24i,-2.01281021029651e-18-1.0045916190452e-37i,4.84804207536932e-23-5.02995389889849e-24i,-2.81656806328878e-15-2.71470479555953e-14i,-3.187369555097e-17+4.69185813939227e-09i,-1.46716961780526e-15-1.41043946234542e-14i,-1.34800619105432e-15-1.29588365535614e-14i,-1.34780475518764e-15-1.2946715004632e-14i,-3.13396841085329e-17+4.5726947820958e-09i
-7.18816579506625e-07+0i,1.4109737993424e-08+0i,6.26331049294792e-10+0i,2.13689083903623e-07+0i,5.5277058813811e-14+0i,2.27731224313902e-07+0i,1.23601975658394e-05+0i,1.18686800070298e-07+0i,1.09047057727138e-07+0i,1.09049149335114e-07+0i,1.23604264349648e-05+0i
309.974369164263+0i,309.974378429376+0i,2.75301670424843e-06+0i,2.7527232008989e-06+0i,155.595127375143+0i,154.379238212635+0i,80.4569756940448+0i,80.4569757764666+0i,73.9222624216687+0i,73.9222624212643+0i,80.4569757747305+0i
