0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
496.864477754582+0i,496.864476531061+0i,236.943750232114+0i,118.007135194629+0i,118.936614962809+0i,59.0036170288163+0i,59.003518067209+0i,59.0036170436963+0i,59.0036170327032+0i
1061.40591500146+0i,1061.33099993023+0i,502.043822151974+0i,265.191777101368+0i,236.852059802759+0i,119.30102937856+0i,145.890722695268+0i,119.301002443776+0i,119.300991930342+0i
210.192902626415+0i,210.192902200981+0i,100.236386164799+0i,48.6064439529697+0i,51.6299422068272+0i,25.3002476477885+0i,23.3061964160273+0i,23.3061961341209+0i,23.3061963118031+0i
592.569046128614+0i,592.569047140353+0i,282.583185333663+0i,140.737348618771+0i,141.845836672171+0i,70.3687235731512+0i,70.368625002354+0i,70.3687234679567+0i,70.3687235721964+0i
879.250291438137+0i,879.250287112063+0i,419.295132294622+0i,208.825175976311+0i,210.469956171992+0i,104.412637334928+0i,104.412538582829+0i,104.412637342617+0i,104.412637342501+0i
99.9757386431932+0i,99.9723343779007+0i,49.7376585713175+0i,28.089811110899+0i,21.6492411580028+0i,11.9188800021109+0i,16.1712618473754+0i,2.83269668355166+0i,2.83271364495626+0i
394.209810617348+0i,394.191880635329+0i,188.156637572191+0i,97.5179768094484+0i,90.6386720808911+0i,45.3467666273101+0i,52.1712069678358+0i,45.3460636380857+0i,45.3467677719141+0i
872.234802292896+0i,871.959091538326+0i,412.467000130929+0i,192.951972234403+0i,219.515039014577+0i,104.911861784158+0i,88.0400885619773+0i,88.0400894175337+0i,88.0400050179456+0i
18.2229389020248-1.33133130853651e+297i,18.232004755541+2.01233682078859e-07i,9.11600237786931+4.31378835698745e-295i,9.17245601406203-0.00933828123875668i,9.20664598688731-0.00653306656766806i,9.20589728928376+0.00884932317089563i,9.23896057576615+0.012756008940968i,-4.23968300037421e-09+4.52514803704444e-06i,-4.23284552790376e-09-3.70276520186716e+295i
0.000907255132085995+0i,0.000907274369795792+0i,0.00045363712722208+0i,0.00026376416878716+0i,0.000189887649804817+0i,0.000109893720899545+0i,0.000153846995689554+0i,2.56941258195281e-05+0i,2.56946794336955e-05+0i
592.450478351958+0i,592.45047750747+0i,282.526642102657+0i,109.021241057227+0i,173.505401037235+0i,74.3061294110449+0i,34.7151116448883+0i,34.7151116215819+0i,34.7151116583241+0i
974.612341785151+0i,974.612339568153+0i,464.771209959039+0i,210.88211404006+0i,253.889095981334+0i,120.277496037968+0i,90.6046179672353+0i,90.6046178355346+0i,90.6046180132758+0i
455.776603373763+0i,455.676634226957+0i,205.652947644532+0i,92.0396290856952+0i,113.613719099601+0i,49.8455137638562+0i,42.193879570375+0i,42.1920874759297+0i,42.1935774553195+0i
396.695879009577+0i,396.667555224514+0i,188.22367849108+0i,93.277580969496+0i,94.9461416801318+0i,46.6156858301986+0i,46.661896869837+0i,46.615208683398+0i,46.6156553762554+0i
303.364206384176+0i,303.274472298581+0i,143.459471069102+0i,64.7357347905522+0i,78.7237639519744+0i,36.928843769581+0i,27.8068637583045+0i,27.8068314898169+0i,27.8068236354982+0i
879.083403607141+0i,879.083402046996+0i,419.215553742856+0i,213.760808630481+0i,205.454745106368+0i,102.971889721808+0i,110.78891891184+0i,102.971889777253+0i,102.971889722598+0i
974.893589540708+0i,974.893589190377+0i,464.905376215851+0i,179.409143276372+0i,285.496232932204+0i,122.27895870937+0i,57.1301845652622+0i,57.1301845471634+0i,57.1301845739595+0i
303.357093690913+0i,303.27536757668+0i,143.459947950364+0i,62.0127309732482+0i,81.4472192265933+0i,37.2994936645464+0i,24.7132290995289+0i,24.7132267644922+0i,24.7132021780038+0i
879.195629396577+0i,879.195627211503+0i,419.269068950329+0i,172.980320411296+0i,246.288748527667+0i,110.310711203366+0i,62.6696092153739+0i,62.6696092078345+0i,62.669609213459+0i
548.668792402789+0i,548.538534674231+0i,245.214848891632+0i,113.338322752749+0i,131.876858593837+0i,58.6787485731135+0i,54.6591910690981+0i,54.6586049293013+0i,54.659101072466+0i
535.918042922913+0i,535.837125396205+0i,245.173438904584+0i,109.725294780539+0i,135.448848273891+0i,59.3828628350727+0i,50.3422964653343+0i,50.3389159232822+0i,50.3421993113934+0i
102.393718738615+0i,102.43320401379+0i,50.9622403109001+0i,21.8585474493947+0i,29.1041609506794+0i,13.1277081555906+0i,8.7308883470474+0i,1.06100418684423+0i,1.06102245647223+0i
783.417908393703+0i,783.417906929992+0i,373.594782826518+0i,201.685725382263+0i,171.90905734897+0i,88.1037140991862+0i,113.582011202597+0i,88.1037138898341+0i,88.1037140932792+0i
401.229527539089+0i,401.229528232015+0i,191.337564263378+0i,101.538077199927+0i,89.7994870603101+0i,45.732254059817+0i,55.8058231248045+0i,45.7322540020481+0i,45.7322540602089+0i
687.838008431026+0i,687.838008941417+0i,328.014864256172+0i,177.080172079759+0i,150.934692151654+0i,77.3549249435021+0i,99.7252470078356+0i,77.3549247576406+0i,77.3549249413974+0i
0.000244524566014879+0i,0.000244542777928027+0i,0.000122271373088775+0i,5.4114012727005e-05+0i,6.81762721958264e-05+0i,3.00638245869968e-05+0i,2.40492254062771e-05+0i,2.39288254688092e-06+0i,2.39301542356896e-06+0i
16.6761110985594+0i,16.6796450795103+0i,7.89354429810908+0i,4.01012613099731+0i,3.88341929277366+0i,1.78822717591735+0i,2.22188546440648+0i,1.75717171707322+0i,1.75720265673882+0i
966.781808299436+0i,966.663989480137+0i,457.263584489864+0i,232.037894546521+0i,225.225692892777+0i,111.695724505727+0i,120.342162918789+0i,111.695718637234+0i,111.695683450442+0i
538.225027900902+0i,538.122179114504+0i,245.154942092448+0i,119.438679946+0i,125.716714266868+0i,57.0264432678676+0i,62.4121055831515+0i,57.0227387582514+0i,57.0261887673661+0i
869.868498976578+0i,869.836438976268+0i,412.280469799223+0i,213.677824221475+0i,198.602748095791+0i,99.3329824661218+0i,114.344780285024+0i,99.3322588659576+0i,99.3329510344744+0i
9.10415520073531e-14+4.5828690289445e-05i,3.68534402901514e-12+4.56907569242462e-05i,1.84612887745535e-12+2.28453784621231e-05i,4.10322542317392e-13+1.07424134130595e-05i,5.3510405695967e-13+1.2030096998189e-05i,1.15876144479858e-13+5.63594694369854e-06i,8.9357123189583e-14+5.07218784783295e-06i,3.82156002489698e-15+1.31033396243451e-06i,2.4441641718534e-15+1.29195262884081e-06i
974.70947690344+0i,974.709474622454+0i,464.817519695102+0i,246.662460068316+0i,218.155059700827+0i,111.096532477931+0i,135.565927542776+0i,111.096532547652+0i,111.096532456415+0i
