0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
0.376638117668814+0i,0.376638496530615+0i,0.188319207573428+0i,0.0937725311748144+0i,0.0945467097501718+0i,0.0469373509629645+0i,0.0468351572777838+0i,0.0469339423366141+0i,0.0469348784500494+0i
0.922526679979226+0i,0.922477197336675+0i,0.458618265546202+0i,0.243541991557042+0i,0.215081473082321+0i,0.109353844297139+0i,0.134186328898239+0i,0.109351314450854+0i,0.109336315790515+0i
0.139792704024663+0i,0.139792033015396+0i,0.0698960165076981+0i,0.0335996063859483+0i,0.0362963073468929+0i,0.0175847016223271+0i,0.0160148891177833+0i,0.0160157823106967+0i,0.0160160194477537+0i
0.594253053442188+0i,0.594255060084483+0i,0.297127530042241+0i,0.147964406640588+0i,0.149163141161413+0i,0.0740305730177933+0i,0.0739338246858411+0i,0.0739820384594304+0i,0.0739895479510043+0i
0.838606428164933+0i,0.83860687123076+0i,0.4193034281434+0i,0.208812622472705+0i,0.210490805657431+0i,0.104454442724533+0i,0.104358151802725+0i,0.10445387562778+0i,0.104454111245855+0i
-5.28066597437474e-25+0i,-5.26962470972764e-25+0i,-2.62246147826876e-25+0i,-1.47504766036045e-25+0i,-1.13889395201707e-25+0i,-6.52394908637393e-26+0i,-8.11970581027365e-26+0i,-8.70986590846405e-26+0i,-8.66739579291969e-26+0i
4.67669367933501e-06+0i,4.66693275697884e-06+0i,2.32251954679036e-06+0i,1.23498139734191e-06+0i,1.08286860172862e-06+0i,5.8519404291102e-07+0i,6.47234729697987e-07+0i,4.26866545238968e-07+0i,4.25390440156108e-07+0i
0.896025902031006+0i,0.895891596046811+0i,0.446180337666854+0i,0.209737056329213+0i,0.236454732564905+0i,0.113855626078936+0i,0.0958804526384502+0i,0.0958796065120691+0i,0.0958376223415116+0i
1.60066935592676e-15+4.27115364940208e-08i,1.387100568199e-14-1.53831849631551e-08i,6.73184351829504e-15-7.69159248157768e-09i,1.58860416906056e-15-3.25710541772063e-09i,3.95409583246065e-15-5.91899846684134e-09i,1.25587517687783e-16-5.63010051388588e-10i,7.47462607341921e-17-3.59059046658993e-10i,4.76738652397432e-16+4.20234095845094e-09i,1.07679693176877e-16-1.54099915992673e-08i
6.30718781734515e-23+0i,6.38130450596232e-23+0i,3.1906519681566e-23+0i,1.81593138310659e-23+0i,1.4074251351281e-23+0i,8.24240070089476e-24+0i,1.01085115167357e-23+0i,1.40379556747625e-23+0i,1.43025112180807e-23+0i
3.83143543615106e-06+0i,3.8359578403215e-06+0i,1.91797867897571e-06+0i,5.45672732532039e-07+0i,1.37555103585282e-06+0i,3.90578513984719e-07+0i,1.56014966627444e-07+0i,9.88772867294277e-08+0i,1.02285218565277e-07+0i
2.70264865040769e-06+0i,2.70604551309006e-06+0i,1.35302259327756e-06+0i,5.55181809275055e-07+0i,7.99846950271037e-07+0i,3.27387759578857e-07+0i,2.2861520490034e-07+0i,1.30840127746544e-07+0i,1.33307754962055e-07+0i
0.292539273952037+0i,0.292391827231654+0i,0.138118596352276+0i,0.0605368260416265+0i,0.0775590008167199+0i,0.0329706612439326+0i,0.0275572318068821+0i,0.0277489850219683+0i,0.0276956629472316+0i
0.0592526366646586+0i,0.0593430274987584+0i,0.0295308262481776+0i,0.0146480917509038+0i,0.0149255032321369+0i,0.0073495902540266+0i,0.00731733134593727+0i,0.00378615305200464+0i,0.0038247121413356+0i
0.296681196254832+0i,0.296638683445335+0i,0.147735098917692+0i,0.0668541897691448+0i,0.0808893661623373+0i,0.0381212492142193+0i,0.0287321719880792+0i,0.0287311675645403+0i,0.0287181684726999+0i
0.68246345470274+0i,0.682463803480497+0i,0.341231851431537+0i,0.17473602442593+0i,0.166495865277634+0i,0.084062057131741+0i,0.0906739627946444+0i,0.0840620885138081+0i,0.0840627106716374+0i
