Genes,GT,CF_labs
ydzSn,1,1
ydzSc,1,1
ydfB,1,1
ydfC,1,1
ydfD,1,1
ydfE,1,1
ydfF,1,1
ydfG,1,1
ydzP,1,1
ydzQ,1,1
ydfH,1,1
ydfI,1,1
cesA,1,1
ydfL,1,1
mneP,1,1
ydfN,1,1
ydfP,1,1
ydfQ,1,1
ydzH,1,1
ydzR,1,1
ydgC,1,1
ydgD,1,1
ydgE,1,1
vmlR,1,1
ydgF,1,1
ydgI,1,1
ydgJ,1,1
ydgK,1,1
ydhB,1,1
ydhC,1,1
spoL,1,1
ydhE,1,1
fra,1,1
ydhH,1,1
ydhI,1,1
ydhJ,1,1
pbuE,1,1
gmuB,1,1
gmuA,1,1
gmuC,1,1
gmuD,1,1
gmuR,1,1
gmuE,1,1
gmuF,1,1
gmuG,1,1
ydhUn,1,1
thiL,1,1
tsaE,1,1
tsaB,1,1
rimI,1,1
tsaD,1,1
ydiF,1,1
moaC,1,1
rex,1,1
tatAY,1,1
tatCY,1,1
ydiK,1,1
ydiL,1,1
ydzTc,1,1
ydzT,1,1
ydzT.1,1,1
ydzT.2,1,1
ydzTn,1,1
ydiM,1,1
ydzU,1,1
ydzV,1,1
ydiN,1,1
bsuMA,1,1
bsuMB,1,1
ydzWc,1,1
ydzWmc,1,1
ydzWmb,1,1
ydzW,1,1
ydzW.1,1,1
ydzWma,1,1
ydzWn,1,1
bsuRA,1,1
bsuRB,1,1
bsuRC,1,1
ydjB,1,1
ydjC,1,1
gutR,1,1
ydjE,1,1
ydjJ,1,1
iolT,1,1
bdhA,1,1
walM,1,1
ydjN,1,1
ydzJ,1,1
ydzX,1,1
mneS,1,1
yeaC,1,1
yeaD,1,1
yebA,1,1
yebC,1,1
yebD,1,1
yebE,1,1
yebG,1,1
yezC,1,1
yecA,1,1
yezF,1,1
yerA,1,1
yerB,1,1
yerC,1,1
yerD,1,1
pcrB,1,1
yerI,1,1
sapB,1,1
gatC,0,1
gatA,0,1
gatB,0,1
yerO,1,1
srfP,1,1
dagK,1,1
rlmCD,1,1
yefB,1,1
yefC,1,1
yeeA,1,1
yeeB,1,1
yeeC,1,1
yeeD,1,1
yezA,1,1
yezG,0,1
yeeF,1,1
yeeG,1,1
phrH,1,1
yeeI,1,1
cotK,1,1
yezE,1,1
yesE,1,1
yesF,1,1
yesL,1,1
yesM,1,1
yesN,1,1
yesO,1,1
rhgP,1,1
rhgQ,1,1
rhgH,1,1
rhgR,1,1
rhgT,1,1
yesU,1,1
yesV,1,1
yesY,1,1
yetA,1,1
lplA,1,1
lplB,1,1
lplC,1,1
lplD,1,1
yetF,1,1
hmoA,1,1
yetH,1,1
yetI,1,1
yetI.1,1,1
yezD,1,1
calJ,1,1
yetK,1,1
flvL,1,1
flvM,1,1
yetN,1,1
cypD,1,1
ltaSA,1,1
spmH,1,1
spmG,1,1
yfnF,1,1
yfnC,1,1
pynN,1,1
vdhT,1,1
ettA,1,1
yfmQ,1,1
copP,1,1
copO,1,1
yfmN,1,1
ettM,1,1
yfmL,1,1
yfmK,1,1
yfmJ,1,1
yfmI,1,1
yfmG,1,1
fecF,1,1
fecE,1,1
fecD,1,1
fecC,1,1
yfmB,1,1
yflT,1,1
pelA,1,1
maeS,1,1
citS,1,1
citT,1,1
yflP,1,1
nosA,1,1
acyP,1,1
yflK,1,1
yflJ,1,1
yflI,1,1
mapB,1,1
nagP,1,1
ltaSB,1,1
yflD,1,1
yflB,1,1
yfkT,1,1
yfkS,1,1
yfkR,1,1
yfkQ,1,1
hypO,1,1
sufLB,1,1
yfkL,1,1
yfkK,1,1
rbn,1,1
yfkF,1,1
chaA,1,1
mscC,1,1
yfkA,1,1
yfjT,1,1
pdaA,1,1
yfjR,1,1
yfjQ,1,1
yfjP,1,1
yfjO,1,1
yfzA,1,1
dusC,1,1
yfjM,1,1
yfjL,1,1
yfjF,1,1
yfjE,1,1
yfjD,1,1
yfjC,1,1
yfjB,1,1
yfjA,1,1
malR,1,1
yfiB,1,1
yfiC,1,1
catD,1,1
catE,1,1
yfiF,1,1
yfiG,1,1
yfiH,1,1
yfiI,1,1
linJ,1,1
linK,1,1
bifL,1,1
bifM,1,1
bifN,1,1
padR,1,1
estB,1,1
icaC,1,1
yfiR,1,1
yfiS,1,1
bstA,1,1
yfiU,1,1
yfiV,1,1
mprF,1,1
sxzY,1,1
sxzZ,1,1
sxzA,1,1
yfhB,1,1
yfhE,1,1
yfhF,1,1
recX,1,1
yfhH,1,1
yfhI,1,1
yfhJ,1,1
spdL,1,1
ephM,1,1
yfhO,1,1
yfhP,1,1
mutY,1,1
ygaB,1,1
ygaC,1,1
ygaD,1,1
ygaE,1,1
gsaB,1,1
bcp,1,1
ygzB,1,1
ygxA,1,1
ygzA,1,1
ygzC,1,1
ygaJ,1,1
thiC,1,1
ygaK,1,1
rpsNB,1,1
ygaO,1,1
ygzD,1,1
yhzB,1,1
queG,1,1
yhbB,1,1
trmL,1,1
yhbD,1,1
yhbE,1,1
yhbF,1,1
yhbI,1,1
yhbJ,1,1
yhcA,1,1
yhcB,1,1
yhcC,1,1
yhcD,1,1
yhcJ,1,1
dgcK,1,1
tcyP,1,1
mncR,1,1
srtA,1,1
yhcT,1,1
yhcU,1,1
glpW,1,1
yhcX,1,1
yhzG,1,1
yhxA,1,1
glpP,1,1
pgcA,1,1
yhcY,1,1
yhcZ,1,1
azr,1,1
yhdB,1,1
yhdC,1,1
nsrR,1,1
ygxB,1,1
bcaP,1,1
yhdH,1,1
yhdI,1,1
yhdJ,1,1
asiMB,1,1
asiMA,1,1
akrN,1,1
plsC,0,0
yhdP,1,1
cueR,1,1
yhdR,1,1
yhdT,1,1
crcBA,1,1
crcBB,1,1
yhdW,1,1
yhdX,1,1
mscY,1,1
srtN,1,1
yheN,1,1
dat,1,1
nhaC,1,1
bmrB,1,1
bmrC,1,1
bmrD,1,1
yheG,1,1
yheF,1,1
yheE,1,1
yheB,1,1
yheA,1,1
khtU,1,1
khtT,1,1
khtS,1,1
yhaR,1,1
yhzD,1,1
yhaQ,1,1
yhaP,1,1
sbcE,1,1
yhaL,1,1
prsA,0,1
sscA,1,1
sscB,1,1
yhaJ,1,1
yhaI,1,1
scoC,1,1
yhaH,1,1
yhzF,1,1
trpP,1,1
serC,1,1
hinT,1,1
ecsA,1,1
ecsB,1,1
ecsC,1,1
sndC,1,1
yhfA,1,1
yhgB,1,1
hmoB,1,1
hemE,1,1
hemH,1,1
hemY,1,1
yhgD,1,1
yhgE,1,1
fabHB,1,0
yhfC,1,1
yhfE,1,1
yhfF,1,1
gltT,1,1
yhfH,1,1
yhfI,1,1
lplJ,1,1
yhfK,1,1
lcfB,1,0
yhfN,1,1
yhfO,1,1
yhfP,1,1
phoE,1,1
yhfS,1,1
yhfT,1,0
bioY,1,1
yhzC,1,1
yhxD,1,1
yhjA,1,1
yhjC,1,1
yhjG,1,1
yhjH,1,1
glcP,1,1
ntdC,1,1
ntdB,1,1
ntdA,1,1
ntdR,1,1
yhjN,1,1
yhjO,1,1
yhjP,1,1
yhjQ,1,1
sbcC,1,1
hlpB,1,1
pchI,1,1
yisJ,1,1
mblK,1,1
yisL,1,1
yisN,1,1
yizA,1,1
farP,1,1
yisQ,1,1
yisR,1,1
iolQ,1,1
iolX,1,1
yisT,1,1
yisU,1,1
yisV,1,1
yisX,1,1
yisZ,1,1
yitA,1,1
yitH,1,1
yitI,1,1
samT,1,1
yitK,1,1
yitL,1,1
yitM,1,1
yitO,1,1
yitP,1,1
yizB,1,1
yitQ,1,1
yitR,1,1
nprB,1,1
fakBB,1,1
yitT,1,1
ipi,1,1
yizC,1,1
ribZC,1,1
yitV,1,1
yitW,1,1
yitY,1,1
yitZ,1,1
yjzC,1,1
yjzD,1,1
yjaU,1,1
yjaV,1,1
yjzB,1,1
yjaZ,1,1
appAn,1,1
appAc,1,1
appB,1,1
appC,1,1
yjbA,1,1
trpS,0,1
oppA,1,1
oppB,1,1
oppC,1,1
oppD,1,1
oppF,1,1
yjbB,1,1
spxA,1,1
BSU_11515,1,1
BSU_11525,1,1
coiA,1,1
pepF,1,1
yizD,1,1
spxH,1,1
yjbI,1,1
cwlQ,1,1
yjbK,1,1
yjbL,1,1
relP,1,1
ppnKA,0,0
yjbO,1,1
prpE,1,1
kefQ,1,1
tenA,1,1
thiO,1,1
thiD,1,1
fabI,1,0
cotO,1,1
BSU_11798,1,1
yjzK,1,1
yjcB,1,1
yjcD,1,1
yjzE,1,1
yjcF,1,1
yjcG,1,1
yjcH,1,1
metI,1,1
metC,1,1
yjcK,1,1
yjcL,1,1
yjcM,1,1
yjzF,1,1
yjzG,1,1
yjcO,1,1
yjcR,1,1
yjcS,1,1
yjdA,1,1
manR,1,1
manP,1,1
manA,1,1
yjdF,1,1
yjdG,1,1
trnE,1,1
yjzH,1,1
yjdJ,1,1
ctaO,1,1
pdaC,1,1
yjfC,1,1
yjgA,1,1
yjgC,1,1
yjgD,1,1
yjhA,1,1
yjhB,1,1
yjiA,1,1
cypE,1,1
ppuG,1,1
yjzI,1,1
yjjA,1,1
yjkA,1,1
yjkB,1,1
yjlA,1,1
yjlB,1,1
yjlC,1,1
ndh,1,1
exuM,1,1
yjnA,1,1
yjoA,1,1
yjpA,1,1
xlyB,1,1
yjqA,1,1
pghB,1,1
xpdC,1,1
yjzJ,1,1
ykzK,1,1
ykzL,1,1
ykzM,1,1
xkdN,1,1
xkzB,1,1
xkdO,1,1
xkdP,1,1
xkdQ,1,1
xkdS,1,1
xkdT,1,1
xkzA,1,1
xkdV,1,1
xkdW,1,1
xkdX,1,1
xepA,1,1
xhlA,1,1
xhlB,1,1
xlyA,1,1
spoIISC,1,1
spoIISB,1,1
spoIISA,1,1
pitB,1,1
ykaA,1,1
steT,1,1
mhqA,1,1
BSU_12875,1,1
ykcB,1,1
ykcC,1,1
proCC,1,1
aeeB,1,1
pgl,1,1
ddaH,1,1
ykhA,1,1
hmpA,1,1
ykzH,1,1
ykjA,1,1
ykkA,1,1
ykkB,1,1
gdnC,1,1
gdnD,1,1
purU,1,1
proB,1,1
proA,1,1
ohrA,1,1
ohrR,1,1
ohrB,1,1
ykzN,1,1
guaN,1,1
metE,1,1
ispA,1,0
rsbRB,1,1
thiX,1,1
thiW,1,1
thiV,1,1
thiU,1,1
ykoG,1,1
ykoH,1,1
ykoI,1,1
ykoJ,1,1
ykzD,1,1
mgtE,0,1
ykoM,1,1
ykoN,1,1
ykoP,1,1
ykoQ,1,1
ligD,1,1
ligV,1,1
dgcW,1,1
ykoX,1,1
ykoY,1,1
sigI,1,1
rsgI,1,1
htpK,1,1
htpX,1,1
ktrD,1,1
ykzP,1,1
ykzE,1,1
ykrP,1,1
kinE,1,1
BSU_13545,1,1
mtnA,1,1
mtnK,1,1
mtnU,1,1
mtnE,1,1
mtnW,1,1
mtnX,1,1
mtnB,1,1
mtnD,1,1
ykvA,1,1
eag,1,1
kinD,1,1
mhqR,1,1
queC,1,1
queD,1,1
queE,1,1
queF,1,1
ykvN,1,1
ykvO,1,1
ykvP,1,1
ykzQ,1,1
ykvQ,1,1
ykzR,1,1
ykvS,1,1
ykzS,1,1
ykvT,1,1
stoA,1,1
pfeT,1,1
papB,1,1
ykvZ,1,1
glcT,1,1
ykwB,1,1
ohaC,1,1
ykwD,1,1
pbpH,1,1
dapX,1,0
ykzT,1,1
kre,1,1
ykuC,1,1
ltdD,1,1
ppeE,1,1
fadH,1,1
ykzU,1,1
ykuH,1,1
ykuI,1,1
ykuJ,1,1
ykuK,1,1
abbA,1,1
ykuL,1,1
fldN,1,1
fldP,1,1
dapH,0,0
dapI,1,0
ykuS,1,1
mscT,1,1
ahpA,1,1
ykuV,1,1
mobA,1,1
moeB,1,1
moeA,1,1
mobB,1,1
moaE,1,1
moaD,1,1
yknU,1,1
yknV,1,1
skiW,1,1
skiX,1,1
skiY,1,1
skiZ,1,1
ykoA,1,1
ykpA,1,1
panE,1,1
ampS,1,1
ykpC,1,1
mreBH,1,1
abhA,1,1
ykqA,1,1
ktrC,1,1
adeC,1,1
rnjA,0,1
rnpZA,1,1
ykrA,1,1
defB,1,1
ykzV,1,1
BSU_14568,1,1
ykyA,1,1
slp,1,1
rgpA,1,1
speA,1,1
yktA,1,1
yktB,1,1
ykzI,1,1
suhB,1,1
ykzC,1,1
yktD,1,1
nprE,1,1
ylaA,1,1
ylaB,1,1
sigP,1,1
sigQ,1,1
ylaE,1,1
ylaF,1,1
bipA,1,1
ylaH,1,1
ylaI,1,1
ylaK,1,1
ylaL,1,1
glsB,1,1
ylaN,0,1
ftsW,0,1
pycA,1,1
ylbA,1,1
ylbD,1,1
ylbE,1,1
ricF,1,1
ylbG,1,1
rsmD,1,1
coaD,0,1
spoVV,1,1
ylbK,1,1
ylbL,1,1
ylbM,1,1
ylzH,1,1
ylbN,1,1
rpmF,1,1
gerR,1,1
ylbP,1,1
panE.1,1,1
bshC,1,1
mraZ,1,1
rsmH,1,1
ftsL,0,1
pbpB,0,1
murE,0,0
mraY,0,0
murD,0,0
bpr,1,1
ylmA,1,1
thiQ,1,1
ylmC,1,1
ylmD,1,1
ylmE,1,1
sepF,1,1
ylmG,1,1
ylmH,1,1
divIVA,1,1
ileS,0,1
ylyA,1,1
lspA,1,1
rluD,1,1
sumT,1,1
sirB,1,1
sirC,1,1
fbnA,1,1
yloC,1,1
remA,1,1
gmk,0,0
rpoZ,1,1
coaBC,0,1
priA,0,1
defA,1,1
fmt,1,1
rsmB,1,1
rlmN,1,1
prpC,1,1
prkC,1,1
rsgA,1,1
rpe,1,1
thiN,1,1
rpmB,1,1
yloU,1,1
yloV,1,1
sdaAB,1,1
sdaAA,1,1
recG,1,1
acpA,0,1
rpsP,0,1
ylqC,1,1
ylqD,1,1
rimM,1,1
trmD,0,1
rplS,0,1
rbgA,0,1
rnhB,1,1
ylqG,1,1
ylqH,1,1
sucC,1,1
sucD,1,1
dprA,1,1
topA,1,1
trmFO,1,1
flgD,1,1
swrD,1,1
flhG,1,1
swrB,1,1
rpsB,0,1
tsf,0,1
pyrH,0,0
frr,0,1
uppS,0,1
cdsA,0,0
dxr,0,0
rasP,1,1
proS,0,1
polC,0,1
rimP,1,1
rulR,1,1
rulQ,1,1
truB,1,1
ribC,0,1
rpsO,0,1
pnpA,1,1
ylxY,1,1
mlpA,1,1
ymxH,1,1
spoVFA,1,1
spoVFB,1,1
rnjB,1,1
tepA,1,1
tepJ,1,1
ymfC,1,1
bcbE,1,1
ymfF,1,1
ymfH,1,1
efpI,1,1
ymfJ,1,1
ymfKn,1,1
ymfKc,1,1
rodZ,1,1
pgsA,0,0
cinA,1,1
rny,1,1
pdeB,1,1
tdh,1,1
kbl,1,1
miaB,1,1
ricA,1,1
mutS,1,1
mutL,1,1
ymzD,1,1
ymcC,1,1
pksA,1,1
pksB,1,1
BSU_17099,1,1
pksC,1,1
pksD,1,1
pksE,1,1
acpK,1,1
pksF,1,1
pksG,1,1
pksH,1,1
pksI,1,1
pksR,1,1
pksS,1,1
ymzB,1,1
ymaE,1,1
ymzEn,1,1
ymzEc,1,1
pghC,1,1
ymaD,1,1
ebrB,1,1
ebrA,1,1
ymaG,1,1
miaA,1,1
hfq,1,1
ymzC,1,1
ymzA,1,1
nrdI,0,1
cwlC,1,1
hflX,1,1
ynbB,1,1
ynxB,1,1
ynzF,1,1
ynzG,1,1
ynaB,1,1
ynaC,1,1
ynaD,1,1
ynaE,1,1
ynaF,1,1
ynaG,1,1
ynzI,1,1
ynaI,1,1
xylR,1,1
yncB,1,1
yncC,1,1
alrB,1,1
yncE,1,1
dutA,1,1
cotU,1,1
ynzJ,1,1
BSU_17679,1,1
thyA,1,1
BSU_17689,1,1
yncM,1,1
ynzK,1,1
tatAC,1,1
BSU_17715,1,1
flvS,1,1
ynzB,1,1
yndG,1,1
yndH,1,1
yndJ,1,1
yndK,1,1
pghL,1,1
yndM,1,1
fosB,1,1
yzzP,1,1
dinK,1,1
dinL,1,1
tktA,1,0
pcfA,1,1
yneF,0,1
spo0D,1,1
yneK,1,1
yneN,1,1
ynzL,1,1
sspT,1,1
yneP,1,1
yneQ,1,1
yneR,1,1
plsY,0,1
yneT,1,1
ynfCc,1,1
ynfCn,1,1
eglS,1,1
ynfE,1,1
xynC,1,1
xynD,1,1
yngA,1,1
yngB,1,1
yngC,1,1
nrnB,1,1
ynzE,1,1
BSU_18275,1,1
yngK,1,1
yngL,1,1
ppsE,1,1
galM,1,1
yoeA,1,1
iseA,1,1
yoeC,1,1
yoeD,1,1
ggt,1,1
ftsR,1,1
yogA,1,1
proJ,1,1
proH,1,1
rtp,1,1
yoxD,1,1
yoaB,1,1
yoaC,1,1
yoaD,1,1
yoaE,1,1
BSU_18595,1,1
BSU_18596,1,1
yoaI,1,1
exlX,1,1
yoaK,1,1
pelB,1,1
yoaM,1,1
yozS,1,1
oxdD,1,1
yoaO,1,1
BSU_18689,1,1
yoaP,1,1
yoaQ,1,1
yozT,1,1
yozF,1,1
yoaS,1,1
yozG,1,1
yoaT,1,1
yoaU,1,1
yoaV,1,1
yoaZ,1,1
penP,1,1
yobA,1,1
yozU,1,1
yobB,1,1
yppS,1,1
yozV,1,1
yobD,1,1
yozH,1,1
yozI,1,1
yobE,1,1
yobF,1,1
yozW,1,1
yozX,1,1
yozJ,1,1
yozY,1,1
yozZ,1,1
rapK,1,1
yobHc,1,1
yobHm,1,1
yobI,1,1
yoyA,1,1
bsrE,1,1
rttM,1,1
rttL,1,1
yobM,1,1
yobN,1,1
csaA,1,1
yobQ,1,1
yobR,1,1
yobS,1,1
yobT,1,1
yobU,1,1
yobV,1,1
czrA,1,1
yocA,1,1
yozB,1,1
yocB,1,1
yocC,1,1
yocD,1,1
desE,1,1
desK,1,1
desR,1,1
walL,1,1
recQ,1,1
azoJ,1,1
yocL,1,1
yoyB,1,1
yocM,1,1
yozN,1,1
yocN,1,1
yozC,1,1
dhaS,1,0
yocR,1,1
yocS,1,1
yojO,1,1
yojN,1,1
sodC,1,1
cwlS,1,1
yojK,1,1
cdaS,1,1
mdtK,1,1
rsbRC,1,1
bshBB,1,1
yojF,1,1
yoyC,1,1
yojE,1,1
gerT,1,1
yojB,1,1
yojA,1,1
yodA,1,1
arxR,1,1
noxC,1,1
yodD,1,1
yodE,1,1
yoyD,1,1
ctpA,1,1
yodH,1,1
yodI,1,1
ldcB,1,1
deoD,1,1
yoyE,1,1
yodL,1,1
pgpB,1,1
yozD,1,1
yoyF,1,1
yodN,1,1
yozE,1,1
yokU,1,1
BSU_19745,1,1
yoyG,1,1
phyC,1,1
spsMn,1,1
sprB,1,1
yotM,1,1
yotL,1,1
yotJ,1,1
yotI,1,1
yotH,1,1
yotG,1,1
yotF,1,1
yotE,1,1
BSU_19915,1,1
yotD,1,1
yotC,1,1
yotB,1,1
yosX,1,1
yosW,1,1
yosV,1,1
yojW,1,1
yosU,1,1
yosT,1,1
dutB,1,1
yosR,1,1
nrdFB,1,1
yosQ,1,1
nrdIB,1,1
yosL,1,1
yosK,1,1
yosJ,1,1
yosI,1,1
yosH,1,1
yosG,1,1
yosF,1,1
yosE,1,1
yosD,1,1
yosC,1,1
yosB,1,1
yosA,1,1
yorZ,1,1
yorY,1,1
yorX,1,1
yorW,1,1
yorV,1,1
yorT,1,1
yorS,1,1
yorR,1,1
yorQ,1,1
yorP,1,1
yorO,1,1
yorN,1,1
yorM,1,1
yorJ,1,1
yorH,1,1
yorG,1,1
yorF,1,1
yorE,1,1
yorD,1,1
yorA,1,1
pghZ,1,1
yoqY,1,1
yoqX,1,1
yoqW,1,1
yoqV,1,1
yoqU,1,1
yoqT,1,1
yoqS,1,1
yoqR,1,1
yoqP,1,1
yoqO,1,1
yoqN,1,1
yoqM,1,1
yoqL,1,1
yoqK,1,1
yoqJ,1,1
yoqI,1,1
yoqH,1,1
yoqG,1,1
yoqF,1,1
yoqE,1,1
yoqD,1,1
yoqC,1,1
yoqB,1,1
yoqA,1,1
yopZ,1,1
yopY,1,1
yopX,1,1
yopW,1,1
yopV,1,1
yopU,1,1
yopT,1,1
yopS,1,1
yopR,1,1
yopQ,1,1
yopP,1,1
yopO,1,1
yopN,1,1
yopM,1,1
aimP,1,1
aimR,1,1
yopJ,1,1
yopI,1,1
sieB,1,1
yopG,1,1
yopF,1,1
yopE,1,1
yoyH,1,1
yoyI,1,1
yopD,1,1
yopC,1,1
yopB,1,1
yopA,1,1
yonX,1,1
yonV,1,1
yonU,1,1
yoyJ,1,1
spbT,1,1
yonS,1,1
yonR,1,1
yonP,1,1
yonO,1,1
hupN,1,1
BSU_21058,1,1
yonK,1,1
yonI,1,1
yonH,1,1
yonF,1,1
yonD,1,1
yonC,1,1
yonB,1,1
yonA,1,1
yomZ,1,1
yomY,1,1
yomX,1,1
yomW,1,1
yomV,1,1
yomU,1,1
youA,1,1
yomT,1,1
yomS,1,1
yomQ,1,1
yomP,1,1
yomN,1,1
yozP,1,1
yomL,1,1
youB,1,1
yomK,1,1
yomJ,1,1
yomH,1,1
yomG,1,1
yomF,1,1
yomD,1,1
BSU_21409,1,1
blyA,1,1
bhlA,1,1
bhlB,1,1
sunS,1,1
sunI,1,1
yolB,1,1
yolA,1,1
bsrG,1,1
yokL,1,1
yokK,1,1
yokJ,1,1
yokI,1,1
yokH,1,1
yoyK,1,1
yoyK.1,1,1
yokG,1,1
nukF,1,1
yokE,1,1
aacD,1,1
BSU_21638,1,1
BSU_21639,1,1
yokC,1,1
yokB,1,1
sprA,1,1
spsMc,1,1
msrB,1,1
msrA,1,1
ypoP,1,1
dinF,1,1
ypmT,1,1
ypmS,1,1
ypmR,1,1
scuA,1,1
silP,1,1
yplQ,1,1
ypkP,1,1
dfrA,0,0
thyB,1,1
ypjQ,1,1
ypjP,1,1
rsmJ,1,1
brxA,1,1
ypgR,1,1
hdhQ,1,1
bsaA,1,1
metAA,1,1
ugtP,1,0
BSU_21925,1,1
cspD,1,1
ypeQ,1,1
ypeP,1,1
queP,1,1
ypdQ,1,1
exnP,1,1
ypzF,1,1
ypbS,1,1
dynA,1,1
fbpC,1,1
bpsB,1,1
bpsA,1,1
ypwA,1,1
kduI,1,1
kduD,1,1
ypvA,1,1
yptA,1,1
ypzG,1,1
rlmKB,1,1
gpsB,1,1
ypsA,1,1
BSU_22205,1,1
yprB,1,1
yprA,1,1
ypqE,1,1
yppG,1,1
yppF,1,1
yppE,1,1
yppD,1,1
yppC,1,1
recU,1,1
ponA,1,1
ypoC,1,1
nth,1,1
dnaD,0,1
asnS,1,1
aspB,1,1
tseB,1,1
ypmA,1,1
dinG,1,1
panD,1,1
panC,1,1
panB,1,1
cca,0,1
bshA,1,1
bshBA,1,1
mgsA,1,1
dapB,0,0
ypjD,1,1
ypjC,1,1
ypjA,1,1
ypiF,1,1
ypiB,1,1
ypiA,1,1
aroA,1,0
aroH,1,1
aroB,1,0
aroF,0,0
cheR,1,1
ndk,1,0
hepT,1,0
menG,1,0
hepS,1,0
folEA,0,0
yphF,1,1
yphE,1,1
gpsA,1,0
der,1,1
ypzH,1,1
yphB,1,1
ypzI,1,1
fni,1,1
rpfA,1,1
cmk,0,0
ypfB,1,1
dgrA,1,1
sleC,1,1
prsW,1,1
ypdA,1,1
mecB,1,1
ypbG,1,1
ypbF,1,1
ypbE,1,1
ypbD,1,1
recS,1,1
gmmB,1,1
fer,1,1
fmnP,1,1
serA,1,1
aroC,1,0
rluB,1,1
ypuI,1,1
spcB,1,1
scpA,0,1
ypuF,1,1
ypzK,1,1
ribBA,1,1
ypzC,1,1
ypzJ,1,1
ypuC.1,1,1
BSU_23349,1,1
ypzD,1,1
ypuA,1,1
spoVAEA,1,1
spoVAEB,1,1
pupG,1,1
deoB,1,1
ripX,1,1
yqzK,1,1
yqkK,1,1
mleA,1,1
mleN,1,1
ansR,1,1
yqxK,1,1
nudF,1,1
mciZ,1,1
yqkF,1,1
yqkE,1,1
yqkD,1,1
yqkC,1,1
yqkB,1,1
yqkA,1,1
yqjZ,1,1
yqjY,1,1
polYB,1,1
yqjV,1,1
yqjU,1,1
yqjT,1,1
coaA,1,1
dsdA,1,1
yqjQ,1,1
yqjP,1,1
proI,1,1
yqjN,1,1
yqjM,1,1
rpmGCc,1,1
rpmGCn,1,1
rnz,0,1
zwf,1,1
gndA,1,1
polYA,1,1
mifM,1,1
oxaAB,1,1
yqjF,1,1
yqjE,1,1
yqjD,1,1
yqjC,1,1
yqjB,1,1
yqjA,1,1
artR,1,1
artQ,1,1
artP,1,1
brxB,1,1
bkdR,1,1
yqzF,1,1
mmgF,1,1
yqiI,1,1
yqiH,1,1
BSU_24205,1,1
yqiG,1,1
recN,1,1
argR,1,1
yqxC,1,1
dxs,0,0
ispA.1,1,1
xseB,1,1
xseA,1,1
yqhY,1,1
accC,0,0
accB,0,0
yqhV,1,1
efp,1,1
papA,1,1
yqhS,1,1
yqhR,1,1
yqhO,1,1
lipM,1,1
yqhL,1,1
gcvPB,1,1
gcvPA,1,1
gcvT,1,1
yqhG,1,1
tapA,1,1
spoIIT,1,1
rsbRD,1,1
mgsR,1,1
yqgY,1,1
yqgX,1,1
yqgW,1,1
yqgV,1,1
yqgU,1,1
yqgT,1,1
ltaSC,1,1
glcK,1,1
yqgQ,1,1
glpG,1,1
yqgO,1,1
folN,1,1
rpmGA,1,1
yqgM,1,1
yqgL,1,1
yqzD,1,1
yqzC,1,1
pbpA,1,1
yqgE,1,1
sodA,1,1
yqgC,1,1
yqgB,1,1
yqgA,1,1
ispG,0,0
yqfX,1,1
yqfW,1,1
zur,1,1
yqfT,1,1
nfo,1,1
cshB,1,1
yqfQ,1,1
ispH,0,0
yqfO,1,1
trmK,1,1
cccA,1,1
ppsR,1,1
ccpN,1,1
glyS,0,1
glyQ,0,1
recO,1,1
yqzL,1,1
unpK,1,1
rnrY,1,1
pgpH,1,1
phoH,1,1
floA,1,1
nfeDA,1,1
yqeY,1,1
rpsU,1,1
yqeW,1,1
mtaB,1,1
rsmE,1,1
prmA,1,1
rpsT,1,1
holA,0,1
BSU_25565,1,1
yqzM,1,1
comER,1,1
yqeM,1,1
rsfS,1,1
yqeK,1,1
nadD,0,0
yqeI,1,1
rgpH,1,1
yqeG,0,1
yqeF,1,1
yqeD,1,1
yqeC,1,1
yqeB,1,1
sigKn,1,1
yqcI,1,1
yqzI,1,1
rttG,1,1
rttF,1,1
BSU_25875,1,1
yqxJ,1,1
yqxI,1,1
cwlA,1,1
yqxH,1,1
yqxG,1,1
yqcE,1,1
yqcD,1,1
yqcC,1,1
yqcB,1,1
yqcA,1,1
yqbT,1,1
yqbS,1,1
yqbR,1,1
yqbQ,1,1
yqbP,1,1
yqbO,1,1
yqbNc,1,1
yqbNn,1,1
txpA,1,1
bsrH,1,1
yqbM,1,1
yqbK,1,1
yqzN,1,1
yqbJ,1,1
yqbI,1,1
yqbH,1,1
yqbG,1,1
yqbF,1,1
yqbE,1,1
yqbD,1,1
yqbC,1,1
yqbB,1,1
yqbA,1,1
yqaT,1,1
yqaS,1,1
yqaR,1,1
yqaQ,1,1
yqaP,1,1
yqaO,1,1
yqaN,1,1
yqzO,1,1
sknM,1,1
yqaL,1,1
yqaK,1,1
yqaJ,1,1
yqaI,1,1
BSU_26305,1,1
sknH,1,1
yqaG,1,1
yqdA,1,1
yqaF,1,1
sknR,1,1
yqaD,1,1
yqaC,1,1
yqaB,1,1
sigKc,1,1
BSU_26399,1,1
yrkS,1,1
psiE,1,1
yrkQ,1,1
yrkP,1,1
yrkO,1,1
BSU_26449,1,1
yrkN,1,1
yrkL,1,1
yrkK,1,1
yrkJ,1,1
yrkI,1,1
yrkH,1,1
yrkF,1,1
yrkE,1,1
yrkD,1,1
yrzM,1,1
yrzN,1,1
yrkC,1,1
BSU_26569,1,1
