Genes,GT,CF_labs
cwlP,1,1
conG,1,1
ykoS,1,1
cgeA,1,1
cotV,1,1
yxbC,1,1
mtbP,1,1
albA,1,1
albB,1,1
albC,1,1
albD,1,1
albE,1,1
albF,1,1
albG,1,1
aprE,1,1
argB,1,1
argF,1,1
asnH,1,0
carB,1,1
citB,1,1
dppA,1,1
dppB,1,1
dppE,1,1
ftsA,0,1
ftsZ,0,1
hutG,1,1
hutH,1,1
hutI,1,1
hutM,1,1
hutU,1,1
kapB,1,1
kinB,1,1
pbpE,1,1
racX,1,1
rbsA,1,1
rbsB,1,1
rbsC,1,1
rbsD,1,1
rbsK,1,1
rbsR,1,1
sboA,1,1
sboX,1,1
senS,1,1
sinI,1,1
spo0E,1,1
spoVG,1,1
yoaW,1,1
yvlA,1,1
yvlB,1,1
yvlC,1,1
yvlD,1,1
yxaM,1,1
yxbA,1,1
yxbD,1,1
yxnB,1,1
yxzE,1,1
acoB,1,1
acoC,1,1
acoL,1,1
adaB,1,1
alkA,1,1
abfA,1,1
abnA,1,1
araA,1,1
araB,1,1
araD,1,1
araE,1,1
araL,1,1
araN,1,1
araP,1,1
araQ,1,1
alsD,1,1
alsS,1,1
dnaJ,1,1
dnaK,1,1
grpE,1,1
hemN,1,1
hemZ,1,1
lctP,1,1
nasD,1,1
nasE,1,1
nasF,1,1
arsB,1,1
arsC,1,1
yqcK,1,1
azlC,1,1
azlD,1,1
brnQ,1,1
yrdK,1,1
bioD,1,1
bioI,1,1
bioW,1,1
ytbQ,1,1
bmr,1,1
galT,1,1
lcfA,1,0
levD,1,1
levE,1,1
levF,1,1
levG,1,1
msmX,1,1
sacC,1,1
yobO,1,1
xylA,1,1
xylB,1,1
citZ,1,1
icd,1,1
mdh,1,1
eno,0,1
gapA,0,1
pgk,1,1
pgm,0,1
tpiA,1,1
citA,1,1
acsA,1,1
bcd,1,1
bkdAA,1,0
bkdAB,1,0
bkdB,1,0
buk,1,1
comS,1,1
gabP,1,1
hag,1,1
ilvA,1,1
ilvB,1,1
ilvC,1,1
ilvD,1,1
ilvH,1,1
leuA,1,1
leuB,1,1
leuC,1,1
leuD,1,1
lpdV,1,0
phrC,1,1
ptb,1,1
rapC,1,1
srfAA,1,1
srfAB,1,1
srfAC,1,1
srfAD,1,1
ureA,1,1
ureB,1,1
ureC,1,1
ypmP,1,1
degQ,1,1
phrA,1,1
phrE,1,1
phrF,1,1
rapA,1,1
rapE,1,1
rapF,1,1
addA,1,1
addB,1,1
bdbC,1,1
bdbD,1,1
comC,1,1
comEA,1,1
comEB,1,1
comEC,1,1
comFA,1,1
comFB,1,1
comFC,1,1
comGA,1,1
comGB,1,1
comGC,1,1
comGD,1,1
comGE,1,1
comGF,1,1
comGG,1,1
cspB,1,1
degR,1,1
flgK,1,1
flgL,1,1
flgM,1,1
glcR,1,1
nin,1,1
nucA,1,1
rapH,1,1
recA,1,1
rpsF,1,1
rpsR,0,1
sbcD,1,1
ybdK,1,1
yhcE,1,1
yhcF,1,1
yhcG,1,1
yhcH,1,1
yhcI,1,1
yhjB,1,1
ynzC,1,1
yvrN,1,1
yvrO,1,1
yvrP,1,1
yvyF,1,1
cssS,1,1
htrA,1,1
clpC,1,1
clpE,1,1
clpP,1,1
clpX,1,1
lonA,1,1
mcsA,1,1
mcsB,1,1
radA,1,1
trxA,0,1
amyE,1,1
bglS,1,1
sacB,1,1
sacX,1,1
sipS,1,1
sipT,1,1
wapA,1,1
yxjI,1,1
yxjJ,1,1
dnaN,0,1
sda,1,1
exuT,1,1
uxaA,1,1
uxaB,1,1
uxaC,1,1
yjmC,1,1
yjmD,1,1
narG,1,1
narH,1,1
narI,1,1
narJ,1,1
narK,1,1
fruA,1,1
fruK,1,1
dhbA,1,1
dhbB,1,1
dhbC,1,0
dhbE,1,1
dhbF,1,1
feuA,1,1
feuB,1,1
feuC,1,1
fhuD,1,1
yfhC,1,1
yhfQ,1,1
ykuO,1,1
ywjA,1,1
gabD,1,1
gabT,1,1
cgeB,1,1
cgeC,1,1
cgeD,1,1
cgeE,1,1
cotA,1,1
cotB,1,1
cotC,1,1
cotD,1,1
cotG,1,1
cotH,1,1
cotM,1,1
cotP,1,1
cotW,1,1
cotY,1,1
cwlH,1,1
ftsY,0,1
gerPA,1,1
gerPB,1,1
gerPC,1,1
gerPD,1,1
gerPE,1,1
gerPF,1,1
sspG,1,1
ydgA,1,1
ydgB,1,1
yjcZ,1,1
yurS,1,1
glnA,1,0
nasA,1,1
nasB,1,1
nasC,1,1
gltA,1,1
gltB,1,1
gntK,1,1
gntP,1,1
gntZ,1,1
groEL,0,1
groES,0,1
hxlA,1,1
hxlB,1,1
iolB,1,1
iolC,1,1
iolD,1,1
iolE,1,1
iolF,1,1
iolH,1,1
iolI,1,1
iolS,1,1
kdgA,1,1
kdgK,1,1
kdgT,1,1
dinB,1,1
ligA,0,1
parC,0,1
parE,0,1
pcrA,0,1
ruvA,1,1
ruvB,1,1
sipV,1,1
tagC,1,1
uvrA,1,1
uvrB,1,1
uvrC,1,1
uvrX,1,1
xkdA,1,1
ydgG,1,1
ydgH,1,1
yerH,1,1
yhaM,1,1
yhaO,1,1
yhaZ,1,1
yhjD,1,1
yhjE,1,1
ykvR,1,1
yolC,1,1
yolD,1,1
yorB,1,1
yorC,1,1
yozL,1,1
yozM,1,1
ypuD,1,1
yqhB,1,1
yqjX,1,1
yqzH,1,1
licA,1,1
licB,1,1
licC,1,1
licH,1,1
lmrB,1,1
yxaH,1,1
mntA,1,1
mntB,1,1
mntC,1,1
mntD,1,1
mntH,1,1
blt,1,1
bltD,1,1
ydfK,1,1
aroE,0,0
folB,0,0
folK,0,0
hisC,1,1
lysS,0,1
pabA,1,0
pabC,1,0
trpA,1,1
trpB,1,1
trpC,1,1
trpD,1,1
trpE,1,1
trpF,1,1
tyrA,1,1
yazB,1,1
ycbK,1,1
ahpC,1,1
ahpF,1,1
hemA,1,1
hemB,1,1
hemC,1,1
hemD,1,1
hemL,1,1
hemX,1,1
katA,1,1
mrgA,1,1
glpQ,1,1
phoA,1,0
phoB,1,0
phoD,1,1
phoR,1,1
pstA,1,1
pstBA,1,1
pstBB,1,1
pstC,1,1
pstS,1,1
resA,1,1
resB,1,1
resC,1,1
resE,1,1
tagA,0,0
tagB,0,0
tagD,0,0
tagE,1,0
tagF,0,0
tuaB,0,1
tuaC,1,1
tuaD,1,1
tuaE,1,1
tuaF,1,1
tuaG,1,1
tuaH,1,1
vpr,1,1
ydhF,1,1
yfkN,1,1
yhbH,1,1
yjdB,1,1
ykoL,1,1
folD,1,0
guaC,1,1
nusB,1,1
pbuG,1,1
pyrAB,1,1
pyrB,1,1
pyrC,1,1
pyrD,1,1
pyrE,1,1
pyrF,1,1
pyrK,1,1
pyrP,1,1
ctaA,1,1
ctaB,1,1
ctaC,1,1
ctaD,1,1
ctaE,1,1
ctaF,1,1
ctaG,1,1
cydA,1,1
cydB,1,1
cydC,1,1
cydD,1,1
nrdE,0,1
nrdF,0,1
qcrA,1,1
qcrB,1,1
qcrC,1,1
ymaB,1,1
rocA,1,1
rocB,1,1
rocC,1,1
rocD,1,1
rocE,1,1
rocG,1,1
bdbA,1,1
bdbB,1,1
sunA,1,1
sunT,1,1
yjcN,1,1
yxaJ,1,1
yxaL,1,1
yybJ,1,1
yybK,1,1
yybL,1,1
yybM,1,1
yybN,1,1
infC,0,1
rpmI,1,1
ysdA,1,1
sacA,1,1
sacP,1,1
ywdA,1,1
acdA,1,1
ackA,1,1
acuA,1,1
acuB,1,1
acuC,1,1
ald,1,1
amhX,1,1
ansA,1,1
ansB,1,1
antE,1,1
aprX,1,1
asd,0,0
bglC,1,1
bglH,1,1
bglP,1,1
ccdA,1,1
cdd,1,1
cheA,1,1
cheB,1,1
cheC,1,1
cheD,1,1
cheW,1,1
cheY,1,1
citM,1,1
clpQ,1,1
clpY,1,1
codV,1,1
comQ,1,1
comX,1,1
comZ,1,1
csbA,1,1
ctc,1,1
cymR,1,1
cysC,1,1
cysE,1,1
cysH,1,1
cysK,1,1
cysP,1,1
cysS,0,1
dapA,0,0
dapG,0,0
dctP,1,1
degS,1,1
divIB,0,1
dnaG,0,1
era,0,1
etfA,1,1
etfB,1,1
ezrA,1,1
fabD,0,0
fabF,0,0
fabG,0,0
fabHA,1,0
fabL,1,0
fapR,1,1
fbp,1,1
ffh,0,1
flgB,1,1
flgC,1,1
flgE,1,1
flhA,1,1
flhB,1,1
flhF,1,1
fliE,1,1
fliF,1,1
fliG,1,1
fliH,1,1
fliI,1,1
fliJ,1,1
fliK,1,1
fliL,1,1
fliM,1,1
fliP,1,1
fliQ,1,1
fliR,1,1
fliY,1,1
fliZ,1,1
folC,0,0
ftsH,1,1
galE,1,0
gapB,1,1
ggaA,1,0
ggaB,1,0
glpD,1,1
glpF,1,1
glpK,1,1
glpT,1,1
gltR,1,1
gltX,0,1
glyA,1,0
gtaB,1,0
guaA,1,1
gudB,1,1
gutB,1,1
gutP,1,1
gyrA,0,1
gyrB,0,1
hbs,0,1
htpG,1,1
infB,0,1
jag,1,1
kinC,1,1
lepA,1,1
lrpC,1,1
lytA,1,1
lytB,1,1
lytC,1,1
lytE,1,1
maeN,1,1
malA,1,1
malP,1,1
mecA,1,1
med,1,1
menB,0,0
menC,0,0
menD,0,0
menE,0,0
menF,1,0
mtrA,1,1
nadA,1,0
nadB,1,0
nadC,1,0
nadE,0,0
nifS,1,1
nupC,1,1
nusA,0,1
odhA,1,1
odhB,1,1
ogt,1,1
opuAA,1,1
opuAB,1,1
opuAC,1,1
opuBA,1,1
opuBB,1,1
opuBC,1,1
opuBD,1,1
opuE,1,1
pabB,1,0
pbpD,1,1
pbpF,1,1
pbuX,1,1
pckA,1,1
pdhA,1,1
pdhB,1,1
pdhC,1,1
pdhD,1,1
pdp,1,1
pheS,0,1
pheT,0,1
phrG,1,1
phrI,1,1
plsX,0,1
ppiB,1,1
prfB,0,1
prs,0,1
psd,1,0
pssA,1,0
pta,1,1
ptsG,1,1
ptsH,1,1
ptsI,1,1
pucA,1,1
pucB,1,1
pucC,1,1
pucD,1,1
pucE,1,1
pucH,1,1
pucJ,1,1
pucK,1,1
pucL,1,1
pucM,1,1
purA,1,1
purB,1,1
purC,1,1
purD,1,1
purE,1,1
purF,1,1
purH,1,1
purK,1,1
purL,1,1
purM,1,1
purN,1,1
purQ,1,1
purS,1,1
purT,1,1
pyrG,0,1
rapB,1,1
rapD,1,1
rapG,1,1
rbfA,1,1
recF,1,1
ribD,1,1
ribE,1,1
ribH,1,1
ribR,1,1
rnc,0,1
rpmH,1,1
rpoB,0,1
rpoE,1,1
rpsD,0,1
rsbS,1,1
rsbT,1,1
rsbU,1,1
rsbV,1,1
rsbW,1,1
rsbX,1,1
rsiX,1,1
sat,1,1
sbp,1,1
sdhA,1,1
sdhB,1,1
sdhC,1,1
secA,0,1
smc,0,1
speB,1,1
speD,1,1
speE,1,1
spo0B,1,1
spo0F,1,1
spoIIE,1,1
spoIIGA,1,1
spoIIIE,1,1
sspE,1,1
ssuA,1,1
ssuC,1,1
ssuD,1,1
tetB,1,1
tetL,1,1
thiE,1,1
thiM,1,1
thrS,1,1
thrZ,1,1
treA,1,1
treP,1,1
tyrS,0,1
valS,0,1
veg,1,1
xpt,1,1
xynA,1,1
xynB,1,1
xynP,1,1
ybfM,1,1
yceC,1,1
yceD,1,1
yceE,1,1
yceF,1,1
yceG,1,1
yceH,1,1
yciB,1,1
ydfJ,1,1
yfkI,1,1
yfkJ,1,1
yflH,1,1
yflN,1,1
ygaN,1,1
ykuG,1,1
ylxF,1,1
ylxM,1,1
ylxP,1,1
ylxW,1,1
ylxX,1,1
yneI,1,1
yneJ,1,1
yqxD,1,1
yrhC,1,1
yrrT,1,1
ytnM,1,1
ytrB,1,1
ytrC,1,1
ytrD,1,1
ytrE,1,1
ytrF,1,1
yuxK,1,1
yuxO,1,1
ywcH,1,1
ywhA,1,1
ywkB,1,1
yxeK,1,1
yxeM,1,1
yxeN,1,1
yxeO,1,1
yxeQ,1,1
yxiE,1,1
aldY,1,0
bmrU,1,1
bofC,1,1
csbB,1,1
csbC,1,1
csbD,1,1
csbX,1,1
dacC,1,1
dps,1,1
gsiB,1,1
gspA,1,1
katE,1,1
katX,1,1
nhaX,1,1
yacL,1,1
ydaD,1,1
ydaF,1,1
ydaG,1,1
ydaS,1,1
ydaT,1,1
ydbD,1,1
ydbP,1,1
ydfO,1,1
ydhK,1,1
yfhK,1,1
yflA,1,1
yhdF,1,1
yjbC,1,1
yjgB,1,1
yoaA,1,1
yocK,1,1
yotK,1,1
yoxB,1,1
yoxC,1,1
ypuB,1,1
ypuC,1,1
yqhP,1,1
yqhQ,1,1
yqxL,1,1
yrvD,1,1
ysnF,1,1
ytkL,1,1
ytxG,1,1
ytxH,1,1
yvgO,1,1
yvrE,1,1
ywjC,1,1
ywmE,1,1
ywtG,1,1
yxiS,1,1
yycD,1,1
cheV,1,1
dltA,1,0
dltB,1,0
dltC,1,0
dltD,1,0
dltE,1,1
fliD,1,1
fliS,1,1
fliT,1,1
hemAT,1,1
lytD,1,1
lytF,1,1
mcpA,1,1
mcpB,1,1
mcpC,1,1
motA,1,1
motB,1,1
tlpA,1,1
tlpB,1,1
tlpC,1,1
ybdO,1,1
yfmS,1,1
yjcP,1,1
yjcQ,1,1
yjfB,1,1
ylqB,1,1
yoaH,1,1
yscB,1,1
yvyC,1,1
yxkC,1,1
bofA,1,1
cotE,1,1
cotJA,1,1
cotJB,1,1
cotJC,1,1
cwlD,1,1
cwlJ,1,1
dacB,1,1
divIC,0,1
flhO,1,1
flhP,1,1
gerM,1,1
glgA,1,1
glgC,1,1
glgD,1,1
glgP,1,1
mbl,0,1
mmgA,1,1
mmgC,1,1
mmgD,1,1
mmgE,1,1
murB,0,0
murG,0,0
nucB,1,1
prkA,1,1
scoA,1,1
scoB,1,1
spmA,1,1
spmB,1,1
spoIID,1,1
spoIIIAA,1,1
spoIIIAB,1,1
spoIIIAC,1,1
spoIIIAD,1,1
spoIIIAE,1,1
spoIIIAF,1,1
spoIIIAG,1,1
spoIIIAH,1,1
spoIIM,1,1
spoIVA,1,1
spoIVCA,1,1
spoIVFA,1,1
spoIVFB,1,1
spoVB,1,1
spoVD,1,1
spoVE,1,1
spoVID,1,1
spoVK,1,1
spoVM,1,1
spoVR,1,1
usd,1,1
yabR,1,1
ycgF,1,1
ycgG,1,1
ydcA,1,1
ydcC,1,1
yesJ,1,1
yesK,1,1
yfhS,1,1
yfnD,1,1
yfnE,1,1
yhaX,1,1
yhcO,1,1
yhjR,1,1
yhxC,1,1
yjbE,1,1
yjcA,1,1
yjdH,1,1
yjfA,1,1
ykvI,1,1
ykvU,1,1
ypjB,1,1
ypqA,1,1
yqfC,1,1
yqfD,1,1
yqfZ,1,1
yqxA,1,1
yrrS,1,1
yteV,1,1
ytrH,1,1
ytrI,1,1
ytxC,1,1
yxjC,1,1
yxjF,1,1
yyaD,1,1
csfB,1,1
dacF,1,1
gerAA,1,1
gerAB,1,1
gerAC,1,1
lonB,1,1
spoIIAA,1,1
spoIIAB,1,1
spoIIQ,1,1
spoIVB,1,1
sspN,1,1
yfhD,1,1
