"cbl","ssuC"
"cbl","ssuD"
"cbl","ssuE"
"cbl","tauA"
"cbl","tauB"
"cbl","tauC"
"cbl","tauD"
"cdaR","garD"
"cdaR","garK"
"cdaR","garL"
"cdaR","garP"
"cdaR","garR"
"cdaR","gudD"
"cdaR","gudP"
"cdaR","gudX"
"cdaR","rnpB"
"chbR","chbA"
"chbR","chbB"
"chbR","chbC"
"chbR","chbF"
"chbR","chbG"
"cpxR","acrD"
"cpxR","aroG"
"cpxR","bacA"
"cpxR","baeR"
"cpxR","baeS"
"cpxR","bamE"
"cpxR","cheA"
"cpxR","cheW"
"cpxR","cpxA"
"cpxR","csgA"
"cpxR","csgB"
"cpxR","csgC"
"cpxR","csgD"
"cpxR","csgE"
"cpxR","csgF"
"cpxR","csgG"
"cpxR","degP"
"cpxR","dsbA"
"cpxR","dsbC"
"cpxR","fabZ"
"cpxR","ftnB"
"cpxR","hha"
"cpxR","lpxA"
"cpxR","lpxD"
"cpxR","mdtA"
"cpxR","mdtB"
"cpxR","mdtC"
"cpxR","mdtD"
"cpxR","motA"
"cpxR","motB"
"cpxR","mzrA"
"cpxR","ompC"
"cpxR","ompF"
"cpxR","ppiA"
"cpxR","ppiD"
"cpxR","psd"
"cpxR","rpoE"
"cpxR","rpoH"
"cpxR","rseA"
"cpxR","rseB"
"cpxR","rseC"
"cpxR","spy"
"cpxR","tomB"
"cpxR","tsr"
"cpxR","ung"
"cpxR","ybdG"
"cpxR","yccA"
"cpxR","yebE"
"cpxR","yidQ"
"cpxR","yqjA"
"cra","aceA"
"cra","aceB"
"cra","aceE"
"cra","aceF"
"cra","aceK"
"cra","acnA"
"cra","acnB"
"cra","adhE"
"cra","aroP"
"cra","betA"
"cra","betB"
"cra","betI"
"cra","betT"
"cra","crr"
"cra","csgD"
"cra","csgE"
"cra","csgF"
"cra","csgG"
"cra","cydA"
"cra","cydB"
"cra","cyoA"
"cra","cyoB"
"cra","cyoC"
"cra","cyoD"
"cra","cyoE"
"cra","cysG"
"cra","eda"
"cra","edd"
"cra","eno"
"cra","envC"
"cra","epd"
"cra","fbaA"
"cra","fbaB"
"cra","fruB"
"cra","fruK"
"cra","glcC"
"cra","glk"
"cra","gpmM"
"cra","hypF"
"cra","icd"
"cra","lpd"
"cra","manX"
"cra","manY"
"cra","manZ"
"cra","marA"
"cra","marB"
"cra","marR"
"cra","mpl"
"cra","mtlA"
"cra","mtlD"
"cra","mtlR"
"cra","nirB"
"cra","nirC"
"cra","nirD"
"cra","pck"
"cra","pdhR"
"cra","pfkA"
"cra","pgk"
"cra","poxB"
"cra","ppc"
"cra","ppsA"
"cra","prpB"
"cra","prpC"
"cra","prpD"
"cra","prpE"
"cra","ptsH"
"cra","ptsI"
"cra","pykF"
"cra","setA"
"cra","tpiA"
"cra","yeaD"
"cra","yibQ"
"cra","zwf"
"creB","alaT"
"creB","creD"
"creB","malE"
"creB","malF"
"creB","malG"
"crp","aaeA"
"crp","aaeB"
"crp","aaeR"
"crp","aaeX"
"crp","aceA"
"crp","aceB"
"crp","aceE"
"crp","aceF"
"crp","aceK"
"crp","acnA"
"crp","acnB"
"crp","acs"
"crp","actP"
"crp","aer"
"crp","agaA"
"crp","agaV"
"crp","agaW"
"crp","agp"
"crp","aldA"
"crp","aldB"
"crp","ampD"
"crp","ampE"
"crp","ansB"
"crp","araA"
"crp","araB"
"crp","araC"
"crp","araD"
"crp","araE"
"crp","araF"
"crp","araG"
"crp","araJ"
"crp","arfB"
"crp","argG"
"crp","aroA"
"crp","ascB"
"crp","ascF"
"crp","aspA"
"crp","bglB"
"crp","bglF"
"crp","bglG"
"crp","bhsA"
"crp","caiA"
"crp","caiB"
"crp","caiC"
"crp","caiD"
"crp","caiE"
"crp","caiF"
"crp","caiT"
"crp","cdd"
"crp","chbA"
"crp","chbB"
"crp","chbC"
"crp","chbF"
"crp","chbG"
"crp","chbR"
"crp","cirA"
"crp","citC"
"crp","citD"
"crp","citE"
"crp","citF"
"crp","citG"
"crp","citX"
"crp","cpdB"
"crp","crr"
"crp","csgD"
"crp","csgE"
"crp","csgF"
"crp","csgG"
"crp","csiE"
"crp","cspE"
"crp","cstA"
"crp","cyaA"
"crp","cyoA"
"crp","cyoB"
"crp","cyoC"
"crp","cyoD"
"crp","cyoE"
"crp","cysG"
"crp","cytR"
"crp","dadA"
"crp","dadX"
"crp","dctA"
"crp","dcuA"
"crp","dcuB"
"crp","dcuR"
"crp","deoA"
"crp","deoB"
"crp","deoC"
"crp","deoD"
"crp","dksA"
"crp","dpiA"
"crp","dpiB"
"crp","dsdA"
"crp","dsdX"
"crp","dusB"
"crp","ebgA"
"crp","ebgC"
"crp","entA"
"crp","entB"
"crp","entC"
"crp","entD"
"crp","entE"
"crp","entH"
"crp","envZ"
"crp","epd"
"crp","exuT"
"crp","fadD"
"crp","fadH"
"crp","fadL"
"crp","fbaA"
"crp","feaR"
"crp","fecA"
"crp","fecB"
"crp","fecC"
"crp","fecD"
"crp","fecE"
"crp","fepA"
"crp","fis"
"crp","fiu"
"crp","fixA"
