0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
0.999999993685895+0i,0.899999992491044+0i,0.899999995339268+0i,0.999999993685895+0i,0.999999865625556+0i,0.999999985503344+0i,0.999999979806894+0i,0.911600082387243+0i,0.992185446935787+0i,0.911600136256281+0i,0.999999982578633+0i,0.999999985426858+0i,0.999999875594343+0i,0.999999867049668+0i
0.997947830572023+0i,0.897412482025595+0i,0.898393954360714+0i,0.997947830572023+0i,0.986192328060964+0i,0.997952249376147+0i,0.995989304705817+0i,0.898635908910589+0i,0.985907128139346+0i,0.901803829375708+0i,0.996914706803213+0i,0.997896179138416+0i,0.989627481151501+0i,0.986683064211815+0i
0.999999999999461+0i,0.899999999999594+0i,0.899999999999748+0i,0.999999999999461+0i,0.999999999995476+0i,0.999999999999361+0i,0.999999999999052+0i,0.911600237783836+0i,0.992185482039529+0i,0.911600237784734+0i,0.999999999999243+0i,0.999999999999397+0i,0.999999999996016+0i,0.999999999995553+0i
0.999999999999872+0i,0.899999999999838+0i,0.8999999999999+0i,0.999999999999872+0i,0.999999999997943+0i,0.999999999999766+0i,0.999999999999643+0i,0.911600237784506+0i,0.992185482040048+0i,0.911600237785318+0i,0.999999999999701+0i,0.999999999999763+0i,0.999999999998157+0i,0.999999999997973+0i
0.999999994130395+0i,0.899999992599194+0i,0.899999995406396+0i,0.999999994130395+0i,0.99999987416307+0i,0.999999986496343+0i,0.999999980881938+0i,0.911600084204007+0i,0.992185447380862+0i,0.911600137457038+0i,0.999999983534096+0i,0.999999986341298+0i,0.999999883988278+0i,0.999999875566671+0i
0.00241287281997054+0i,0.897408574533136+0i,0.898391529020568+0i,0.00241287281997054+0i,0.00689083455895195+0i,0.900338148341164+0i,0.898372239366471+0i,0.89862740726155+0i,0.985899260222537+0i,0.901795906336136+0i,0.903542539993723+0i,0.904525494479596+0i,0.0103311750965798+0i,0.00738231177686502+0i
0.991565809833151+0i,0.897417189250508+0i,0.898396876086523+0i,0.991565809833151+0i,0.957094564817859+0i,0.993119672882369+0i,0.991160299210292+0i,0.898646240684829+0i,0.985916608817139+0i,0.901813430585535+0i,0.992973314630378+0i,0.993953001467715+0i,0.96052346874313+0i,0.957584408250516+0i
0.997949421597751+0i,0.897414488101512+0i,0.898395199511283+0i,0.997949421597751+0i,0.986198878306766+0i,0.997953469659863+0i,0.995992046840217+0i,0.898640355283856+0i,0.985911192592616+0i,0.901807944941426+0i,0.996916730975587+0i,0.99789744238528+0i,0.989631368241129+0i,0.986689234021653+0i
1.43703656857355e-16+5909014.06376924i,0.9+0i,0.9+0i,1.43703656857355e-16+5909014.06376924i,0.163760482474493-0.000599878057628436i,0.926076625499564-5.30291167649699e-05i,0.926076625497935-5.30291184818298e-05i,0.911600237786929+0i,0.992185482040673+0i,0.91160023778693+0i,0.926076625497018-5.30291029831963e-05i,0.926076625501953-5.3029104380114e-05i,0.163760482451889-0.000599877821270259i,0.163760482464398-0.00059987791502239i
1.85723990888211e-08+0i,0.899999980056292+0i,0.899999987621147+0i,1.85723990888211e-08+0i,6.00134444937598e-08+0i,0.911599911860236+0i,0.911599896730527+0i,0.911599898087758+0i,0.992185399270893+0i,0.911600013457782+0i,0.911600027504322+0i,0.911600035069177+0i,8.64904414158027e-08+0i,6.37958725243573e-08+0i
