0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
25.9359450097027+0i,25.9359460767644+0i,2.20377581101123e-07+0i,2.20358213838984e-07+0i,13.0188406415749+0i,12.9171056274603+0i,6.73193666527938+0i,6.7319366663656+0i,6.18516896463759+0i,6.18516896849213+0i,6.73193667183764+0i
55.9930998067268+0i,55.9160061026518+0i,0.0798770196668028+0i,0.0798767843421579+0i,28.0295757538357+0i,27.9662841344611+0i,14.6050370922288+0i,14.6050376305251+0i,13.3612484933306+0i,13.3612507009224+0i,14.6050481032532+0i
10.966274967279+0i,10.9662749674118+0i,-1.24967113749732e-15+0i,-1.25031915740645e-15+0i,5.5046455594983+0i,5.46162940791382+0i,2.84640712326533+0i,2.84640721399528+0i,2.61522219391854+0i,2.61522219391854+0i,2.84640721562119+0i
30.9878136795905+0i,30.9878136798096+0i,-2.05174273069292e-13+0i,-2.05101702730107e-13+0i,15.554683014789+0i,15.4331306650174+0i,8.04319926922212+0i,8.04319941513867+0i,7.38993124987869+0i,7.38993124987867+0i,8.04319941572895+0i
45.9619091646534+0i,45.9625277702406+0i,4.39713816508414e-07+0i,4.39690718782585e-07+0i,23.0714097409101+0i,22.8911196513357+0i,11.9300385045776+0i,11.9300389873857+0i,10.9610815212475+0i,10.9610830015331+0i,11.9300404168697+0i
1.69576651859964+0i,1.68143108274397+0i,0.0158376738797359+0i,0.0159151086985166+0i,0.1296191305205+0i,1.56777647705668+0i,0.134961896442293+0i,0.818799966781721+0i,0.74905308325782+0i,0.749116312680839+0i,0.134969871474517+0i
20.91886669408+0i,20.8898218747445+0i,0.0299017625581988+0i,0.0299019973409515+0i,10.471437071685+0i,10.4478792476911+0i,5.45628303947478+0i,5.45629516879259+0i,4.99158806000977+0i,4.99158940547323+0i,5.45630131016047+0i
46.0423741179889+0i,45.9892685872251+0i,0.0656837302719801+0i,0.0656818192077214+0i,23.0534465549343+0i,23.0013727261651+0i,12.0121572774475+0i,12.0121711230568+0i,10.9892032573968+0i,10.9892169869218+0i,12.0122135906355+0i
-2.39422614355339e-14+2.2812497804675e-07i,-1.07754662232225e-13+6.84502565517417e-20i,-5.45485596264709e-29-8.92972318854009e-23i,-5.00217911385409e-17+1.44336206659809e-35i,5.09664496708832e-21-1.81677459988574e-21i,-2.08980539645592e-14-5.86258494139285e-14i,-1.44682436561977e-15+1.94512836323536e-08i,-1.08693980548854e-14-3.00597555580283e-14i,-9.98658620871466e-15-2.7618304047501e-14i,-9.98050264071433e-15-2.74815291777845e-14i,-8.42561120409415e-16+1.8713280441285e-08i
-7.19649809056204e-08+0i,1.3860076552075e-10+0i,6.10275497623866e-12+0i,2.07546432414125e-08+0i,5.06058495790491e-15+0i,2.08969946114796e-08+0i,1.21487711510015e-06+0i,1.08919856241958e-08+0i,1.00073385173442e-08+0i,1.00091927407721e-08+0i,1.2151020832949e-06+0i
30.97437777447+0i,30.9743784306032+0i,2.88515987243467e-07+0i,2.88510463544455e-07+0i,15.5479384405323+0i,15.4264400203446+0i,8.03971262267763+0i,8.03971263370145+0i,7.3867273829622+0i,7.38672738779594+0i,8.03971264030064+0i
