0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
0.999999980112226+0i,0.899999982998252+0i,0.899999989447191+0i,0+0i,0.999999647778572+0i,0.999999961651939+0i,0.999999948754062+0i,0.91159993826803+0i,0.992185410053683+0i,0.911600040386371+0i,0.91160004361084+0i,0.911600050059779+0i,2.55026213032046e-08+0i,6.15580514507826e-09+0i
0.997948444611814+0i,0.897413256249674+0i,0.898394434913592+0i,0+0i,0.986194924157002+0i,0.997952315562255+0i,0.995989958234432+0i,0.898637681895935+0i,0.985908365404176+0i,0.901805500709322+0i,0.902296090041594+0i,0.903277268705456+0i,0.00388011562604576+0i,0.000936579633829053+0i
1+0i,0.9+0i,0.9+0i,0+0i,1+0i,1+0i,1+0i,0.91160023778693+0i,0.992185482040673+0i,0.91160023778693+0i,0.91160023778693+0i,0.91160023778693+0i,9.53706162461117e-34+0i,2.30204935813176e-34+0i
1+0i,0.9+0i,0.9+0i,0+0i,1+0i,1+0i,1+0i,0.91160023778693+0i,0.992185482040673+0i,0.91160023778693+0i,0.91160023778693+0i,0.91160023778693+0i,6.73262786633848e-32+0i,1.6251170516264e-32+0i
0.999999987432492+0i,0.899999984154011+0i,0.899999990164559+0i,0+0i,0.999999764384012+0i,0.999999974079188+0i,0.999999962058092+0i,0.911599954574202+0i,0.992185414368927+0i,0.911600051288387+0i,0.91160005429366+0i,0.911600060304208+0i,2.37689832297289e-08+0i,5.737340776327e-09+0i
0.00256786688099507+0i,0.897424862231372+0i,0.898401638626426+0i,0+0i,0.00747454388156858+0i,0.900518362743289+0i,0.898564809953183+0i,0.898662833621381+0i,0.985930309333212+0i,0.901829161177792+0i,0.902317549375256+0i,0.903294325770288+0i,0.00386270665291429+0i,0.000932377467992831+0i
0.00259033358486662+0i,0.897413053513586+0i,0.898394309077398+0i,0+0i,0.0075272748131064+0i,0.900507062497816+0i,0.898544551370567+0i,0.898637322407227+0i,0.985908185162518+0i,0.901805108107432+0i,0.902295735889035+0i,0.903276991452858+0i,0.00388041972960316+0i,0.000936653038200299+0i
0.997945184358583+0i,0.897409145495606+0i,0.898391883411065+0i,0+0i,0.986181548720654+0i,0.997950234730708+0i,0.995984758899789+0i,0.89862867148019+0i,0.985900394578692+0i,0.90179708031889+0i,0.902288449276748+0i,0.903271187192125+0i,0.00388628175652128+0i,0.000938068010222846+0i
1.30690855770399e-25+0i,0.9+0i,0.9+0i,0+0i,4.7896161648916e-25+3.04476886825179e-22i,0.91160023778693+2.69156843947216e-23i,0.91160023778693+2.69156843947216e-23i,0.91160023778693+0i,0.992185482040673+0i,0.91160023778693+0i,0.91160023778693+0i,0.91160023778693+0i,1.1700798213036e-25+0i,2.82433060354442e-26+0i
2.21382612191159e-08+0i,0.899999980762435+0i,0.899999988059442+0i,0+0i,7.53838518138834e-08+0i,0.91159992522369+0i,0.911599910629675+0i,0.911599907984319+0i,0.992185401891118+0i,0.911600020078433+0i,0.911600023726937+0i,0.911600031023944+0i,2.88563476375843e-08+0i,6.96532528305588e-09+0i
0.999999980043014+0i,0.899999983876208+0i,0.899999989992129+0i,0+0i,0.999999647354543+0i,0.999999962294211+0i,0.999999950062369+0i,0.911599950802175+0i,0.992185413353564+0i,0.911600048759329+0i,0.91160005181729+0i,0.911600057933211+0i,2.4185687272056e-08+0i,5.83792453341932e-09+0i
0.999999986685236+0i,0.89999998321182+0i,0.89999998957975+0i,0+0i,0.999999752802866+0i,0.99999997275201+0i,0.999999960016149+0i,0.911599941011211+0i,0.992185410813866+0i,0.91160004223301+0i,0.911600045416975+0i,0.911600051784906+0i,2.51822707771907e-08+0i,6.07847877370982e-09+0i
0.937410819006826+0i,0.863974096413999+0i,0.877639094325924+0i,0+0i,0.789606753243742+0i,0.95654455044189+0i,0.929214554619095+0i,0.818583148447053+0i,0.917930546323283+0i,0.829420187720141+0i,0.836252686673572+0i,0.84991768458806+0i,0.0540388553790376+0i,0.013043861643152+0i
0.980373407200331+0i,0.897415115216767+0i,0.898395588755242+0i,0+0i,0.913069012966385+0i,0.987544819518793+0i,0.985583872441807+0i,0.898641808609723+0i,0.985912105731049+0i,0.901809321715049+0i,0.902299558484366+0i,0.903280032022793+0i,0.00387732717472439+0i,0.0009359065594099+0i
0.997946070673172+0i,0.897410263022695+0i,0.89839257704857+0i,0+0i,0.986185197090995+0i,0.997950852119935+0i,0.99598622406819+0i,0.898631144255291+0i,0.985902606597892+0i,0.901799376324828+0i,0.902290533337789+0i,0.903272847363619+0i,0.00388460546583674+0i,0.000937663388335116+0i
