,media_list,media_list_ub
1,1425,100
2,1982,10
3,93,100
4,41,100
5,1536,100
6,1537,100
7,1837,100
8,1579,100
9,622,100
10,701,100
11,165,100
12,87,100
13,914,100
14,305,100
16,105,100
17,1501,100
18,228,1
19,604,1
