x
117
165
110
90
220
114
187
104
217
91
100
126
2201
184
1856
89
1545
2271
71
86
689
773
115
228
212
100
526
84
570
109
206
1460
83
632
975
495
230
116
776
289
421
1536
112
304
146
210
626
2713
2714
2715
2716
2717
2718
2719
2720
2721
2722
2723
2724
2725
2726
2727
2728
2729
2730
2731
