0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
0.999999996548097+0i,0.999999929610492+0i,0.999999929610492+0i,0.999999920847968+0i,0.899999999203407+0i,0.911600210658553+0i,0.911600201896029+0i,0.911600225262758+0i,0+0i,8.49699411191152e-09+0i,2.6019791327378e-08+0i,0.999999972771735+0i,0.999999531852024+0i,0.999999514326977+0i
0.999419677746858+0i,0.995235321919961+0i,0.995235321919961+0i,0.993762196201342+0i,0.899866079480044+0i,0.908785141303767+0i,0.907312015584795+0i,0.911240350836408+0i,0+0i,0.00142848554203797+0i,0.00437473549352141+0i,0.996312630213085+0i,0.98146772693497+0i,0.97852147549594+0i
1+0i,1.00000000000001+0i,1.00000000000001+0i,1.00000000000001+0i,0.9+0i,0.911600237786933+0i,0.911600237786933+0i,0.911600237786933+0i,0+0i,-1.1395584564594e-16+0i,-3.49167778973887e-16+0i,1+0i,1.0000000000001+0i,1.0000000000001+0i
1+0i,1.00000000000006+0i,1.00000000000006+0i,1.00000000000006+0i,0.900000000000001+0i,0.911600237786952+0i,0.911600237786959+0i,0.911600237786941+0i,0+0i,-6.62112775006697e-15+0i,-2.02700080757118e-14+0i,1.00000000000002+0i,1.0000000000003+0i,1.00000000000031+0i
0.999999996113492+0i,0.999999922534775+0i,0.999999922534775+0i,0.999999912669025+0i,0.899999999103114+0i,0.911600207684192+0i,0.911600197818442+0i,0.911600224127109+0i,0+0i,9.56678924854768e-09+0i,2.92966669101773e-08+0i,0.999999976381992+0i,0.999999604454941+0i,0.999999584723441+0i
0.0217836956697876+0i,0.0794028175233319+0i,0.0794028175233319+0i,0.0779214988887468+0i,0.899865334669434+0i,0.908771555179223+0i,0.907290236542392+0i,0.911240419572929+0i,0+0i,0.00143643019268493+0i,0.00439906745529662+0i,0.000943520347611217+0i,0.00570719133004949+0i,0.00274455405759513+0i
0.999418505597041+0i,0.995228744012159+0i,0.995228744012159+0i,0.993752642835517+0i,0.899865808983933+0i,0.908780206452253+0i,0.907304105286387+0i,0.911240375080104+0i,0+0i,0.00143137083826462+0i,0.00438357125144255+0i,0.99330156730848+0i,0.967040654207455+0i,0.964088451853595+0i
0.999419790518985+0i,0.995235956243213+0i,0.995235956243213+0i,0.993763116789426+0i,0.899866105504381+0i,0.90878561646899+0i,0.907312777015159+0i,0.911240348888584+0i,0+0i,0.00142820796077775+0i,0.00437388124078677+0i,0.99647411161537+0i,0.982279615870315+0i,0.979333936966615+0i
-3.8999052012372e-16+0i,-1.6174016606344e-15+8.62557584095338e-08i,-1.6174016606344e-15+8.62557584095338e-08i,-1.46997230147238e-15+8.62557584093634e-08i,0.9+0i,0.911600237786931+0i,0.911600237786931+0i,0.911600237786931+0i,0+0i,-1.42961804168575e-16+0i,-4.37820525502301e-16+0i,-9.52569035930903e-17+0i,-5.95934930122749e-16+1.19913612995812e-08i,-3.01076208407963e-16+1.19913612995713e-08i
