0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
49.5500882554903+0i,49.5500883105503+0i,23.6293484705995+0i,11.7683134574939+0i,11.8610349466502+0i,5.88420630143705+0i,5.88410706405477+0i,5.88420629874288+0i,5.88420630235385+0i
105.951691615781+0i,105.944215869396+0i,50.1150321548261+0i,26.474894557776+0i,23.6401388917057+0i,11.9095760618129+0i,14.5653124609427+0i,11.9095709187239+0i,11.9095481718988+0i
20.9444646305875+0i,20.9444642109873+0i,9.98795573344345+0i,4.8428584374903+0i,5.14509725976401+0i,2.52090505311688+0i,2.32195331220003+0i,2.32195173981554+0i,2.32195343956144+0i
59.232579451716+0i,59.2325809448783+0i,28.246719061194+0i,14.0679437735871+0i,14.1787752830713+0i,7.03402115955397+0i,7.03392260281208+0i,7.03402116453353+0i,7.03402115954237+0i
87.8478877494526+0i,87.847887808108+0i,41.8927265584176+0i,20.8641821966899+0i,21.0285443600611+0i,10.4321406743682+0i,10.4320415155149+0i,10.4321406744029+0i,10.4321406741996+0i
9.40195053787576+0i,9.40209238192567+0i,4.67766592945398+0i,2.64582568294445+0i,2.032113397917+0i,1.12149059093411+0i,1.52439812570714+0i,0.283463750668686+0i,0.283480104034231+0i
39.1554763833858+0i,39.1536938229731+0i,18.6946532708611+0i,9.69180863683392+0i,9.00284524145785+0i,4.50626547810812+0i,5.185542647696+0i,4.5062514039686+0i,4.50626520199398+0i
87.2005707089411+0i,87.1727400081467+0i,41.2356594414169+0i,19.2896924152033+0i,21.9459721637692+0i,10.4882794539085+0i,8.80140368180574+0i,8.80139717089916+0i,8.80131386026804+0i
-7.34384048900192e-16+9.82507913807122e-09i,-7.16670503091639e-16+7.67428022333493e-09i,-3.58294312869335e-16+3.83714011166746e-09i,-1.51196144105573e-16+1.06136167719444e-09i,-2.1724360273178e-16+1.53037707249605e-09i,-8.99114726091361e-17+3.31383002051562e-10i,-6.25958941762974e-17+2.3062353071813e-10i,-2.83073547277193e-17+3.83717491441737e-10i,-2.87413203209902e-17+3.59199675290077e-10i
8.58181865261456e-05+0i,8.5828214320563e-05+0i,4.29141016856718e-05+0i,2.49526626789609e-05+0i,1.79643361830117e-05+0i,1.04002203978597e-05+0i,1.45559826155847e-05+0i,2.58166863968376e-06+0i,2.5821464570189e-06+0i
59.1139545467129+0i,59.1139543723971+0i,28.1901487259146+0i,10.8709573866297+0i,17.3191913284929+0i,7.41045284191717+0i,3.46050454459945+0i,3.46050453551969+0i,3.46050454695686+0i
97.1877867731112+0i,97.1877864950391+0i,46.3467200070784+0i,21.023234336191+0i,25.3234856622345+0i,11.9918812435514+0i,9.03135308583554+0i,9.03135301553685+0i,9.03135309831493+0i
45.3953405405618+0i,45.3854058758192+0i,20.4993179338051+0i,9.17258572778874+0i,11.3267320836937+0i,4.96772666978169+0i,4.20485146136947+0i,4.20484546349506+0i,4.20481644493179+0i
39.5293234929252+0i,39.5264907260471+0i,18.756913903643+0i,9.29531172099643+0i,9.46160586060117+0i,4.6453961104558+0i,4.6499116248952+0i,4.64532120272554+0i,4.64538242655566+0i
30.3141797203887+0i,30.3052073420494+0i,14.3354232708749+0i,6.46834341040132+0i,7.86707947535391+0i,3.69001529571983+0i,2.7783253252642+0i,2.7783225841579+0i,2.77829443895616+0i
