"Gene","Cell_Growth"
"glpX",0.791
"tpiA",0.525
"pfkA",0.858
"sodA",0.755
"rhaB",0
"rhaA",0
"glnA",0.387
"fadB",0.733
"fadA",0.741
"metE",0.826
"wzyE",0
"wzxE",0.713
"rffH",0.715
"rffG",0.901
"ilvC",0.775
"ilvE",0.8
"rbsB",0.937
"rbsC",0.527
"rbsD",0.688
"asnA",0.726
"glmS",0
"pstA",0.616
"pstB",0.853
"bglB",0.809
"tnaB",0
"ilvB",0.788
"ilvN",0.776
"kbl",0.664
"yibQ",0.685
"lldD",0.916
"lldP",0.767
"mtlD",0.706
"mtlA",0.787
"aldB",0.766
"sgbE",0.783
"sgbH",0.748
"yiaN",0.806
"yiaM",0.676
"yiaK",0.739
"avtA",0.813
"dppB",0.778
"dppD",0.823
"dppF",0.742
"gadA",0.761
"arsB",0.794
"pitA",0.753
"yhiJ",0.796
"nikE",0.633
"nikD",0.751
"nikC",0.794
"nikB",0.794
"nikA",0.712
"zntA",0.783
"zntA",0.783
"livJ",0.846
"livM",0.75
"ugpB",0.785
"ugpA",0.783
"glgX",0.791
"glgC",0.8
"glgP",0.7
"glpD",0.73
"glpE",0.765
"malP",0.748
"gntT",0.747
"feoB",0.869
"cysG",0.738
"nirB",0.819
"metH",0.719
"lysC",0.728
"malG",0.677
"malF",0.64
"malE",0.662
"malK",0.658
"ubiC",0.771
"tyrB",0.777
"acs",0.824
"nrfC",0.796
"phnN",0.76
"phnL",0.792
"phnI",0.809
"phnH",0.787
"phnG",0.782
"phnC",0.73
"melB",0.888
"dcuB",0.705
"lysU",0.771
"cadA",0.766
"cadB",0.646
"frdD",0.752
"frdB",0.365
"psd",0
"hflX",0.8
"purA",0.242
"ulaG",0.762
"ulaA",0.709
"msrA",0.741
"ytfT",0.946
"mgtA",0.729
"argI",0.765
"idnT",0.499
"idnO",0.631
"idnD",0.59
"idnK",0.775
"fecC",0.889
"fecA",0.71
"gntP",0.661
"uxuB",0.698
"deoC",0.748
"deoA",0.82
"deoD",0.784
"nadR",0.723
"caiB",0.736
"folA",0
"araD",0
"thiQ",0.872
"leuC",0.761
"ilvH",0.769
"ftsI",0
"mraY",0
"cueO",0.815
"hpt",0.576
"fhuA",0.887
"fhuB",0.695
"mhpB",0.671
"mhpD",0.738
"mhpF",0.806
"mhpT",0.793
"cyoD",0.756
"cyoA",0.71
"acrA",0.759
"glxR",0.765
"entC",0.824
"citF",0.765
"citD",0.778
"lipA",0.296
"gltJ",0.725
"kdpA",0.886
"gpmA",0.61
"galT",0.723
"galE",0.713
"glnH",0.752
"potI",0.729
"artJ",0.766
"artQ",0.708
"artI",0.722
"dmsB",0.803
"focA",0.805
"ompA",0.766
"putA",0.77
"pyrC",0.487
"narH",0.765
"adhE",0.483
"trpE",0.894
"tehB",0.657
"fdnG",0.731
"fdnH",0.716
"uxaB",0.702
"uidB",0.752
"uidA",0.801
"chbG",0.478
"astB",0.67
"yeaE",0.746
"edd",0.823
"znuB",0.694
"fbaB",0.833
"yehX",0.693
"cirA",0.784
"ccmE",0.824
"ccmA",0.782
"napA",0.801
"atoE",0.735
"atoB",0.809
"glpQ",0.764
"glpA",0.739
"nuoI",0.556
"nuoG",0.588
"purF",0.566
"xapB",0.838
"cysK",0.806
"cysA",0.715
"maeB",0.85
"hyfH",0.76
"focB",0.719
"pbpC",0.834
"iscA",0.486
"iscS",0.329
"hcaC",0.785
"glyA",0.668
"nadB",0.714
"nrdE",0.789
"norW",0.731
"hycE",0.783
"hypB",0.783
"cysC",0.79
"cysH",0.814
"fucO",0.749
"fucA",0.699
"fldB",0.771
"speB",0.959
"glcF",0.764
"pitB",0.625
"hybA",0.745
"hybO",0.819
"bacA",0.647
"uxaC",0.841
"mdh",0.536
"ppc",0.895
"rhaT",0.748
"dsbA",0.316
"udp",0.773
"trxA",0.742
"ilvD",0.758
"tnaB",0.566
"lyxK",0.658
"xylG",0.802
"xylF",0.76
"dppA",0.723
"arsC",0.802
"ugpQ",0.858
"malQ",0.816
"nirC",0.789
"pgi",0.639
"nrfA",0.805
