0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
236.955094193031+0i,6.98065853720037e-06+0i,236.954896804157+0i,236.852877518647+0i,113.413596055566+0i,123.439379602911+0i,64.3322205716668+0i,64.3322204277566+0i,59.1071594654647+0i,59.1071585491799+0i,64.3322205831036+0i
501.282489947656+0i,2.71241321521813+0i,498.550298145042+0i,498.393021244962+0i,237.517493228527+0i,263.587988525844+0i,137.657044764642+0i,137.657054183531+0i,125.930937179367+0i,125.930923919687+0i,137.657042916307+0i
100.243944528685+0i,5.74317642017321e-13+0i,100.24383483169+0i,100.194884696442+0i,47.9768720878993+0i,52.2180161722003+0i,27.2141748818456+0i,27.2141747815415+0i,25.0038411678868+0i,25.0038412243091+0i,27.2141748767926+0i
282.584969240746+0i,4.41951478157257e-12+0i,282.584429649924+0i,282.469625324738+0i,135.256508181936+0i,147.213151343011+0i,76.7222646326357+0i,76.7222644639497+0i,70.490886829989+0i,70.490886445658+0i,76.7222647833744+0i
419.300610528353+0i,1.33298783834337e-05+0i,419.300158504839+0i,419.134569027049+0i,200.696519186697+0i,218.438135161659+0i,113.842197162478+0i,113.842197165775+0i,104.595937166471+0i,104.595938033315+0i,113.842197313129+0i
47.3017360143955+0i,0.255977263961374+0i,47.0448204432798+0i,47.0453911445695+0i,22.4207263022151+0i,24.8817003542445+0i,1.34976624249272+0i,12.9944364574095+0i,11.8875195729609+0i,11.8876190390136+0i,1.34977429210557+0i
187.903969910299+0i,1.01663396395127+0i,186.88256351181+0i,186.777145701039+0i,89.0119935966178+0i,98.7820667329813+0i,51.588190098599+0i,51.5882609562355+0i,47.1938114720837+0i,47.1938051864064+0i,51.5882596538113+0i
411.8986527159+0i,2.22840852633322+0i,409.578244840017+0i,409.470767405319+0i,195.140344428193+0i,216.559468256074+0i,113.096722207012+0i,113.096740752658+0i,103.46274811586+0i,103.462684772333+0i,113.09670590769+0i
-9.2521416078168e-14+1.355245758101e-05i,-1.12902646526156e-26-1.02300460767515e-20i,1.45787872504713e-11+1.32097581327226e-05i,1.3765880119531e-11+1.28679623825593e-05i,3.04627326606957e-12+6.08337092255946e-06i,3.31556309842611e-12+6.62113946556755e-06i,-8.07223646828364e-15+4.1119687740398e-07i,8.63277238971432e-13+3.40635997556061e-06i,7.93161914346719e-13+3.12969562638858e-06i,-2.26735563909438e-14+3.11739007389883e-06i,-1.24569787199091e-14+4.09691505424757e-07i
0.000413142653084323+0i,2.63814511655114e-11+0i,0.000413153545156976+0i,0.000413161049019057+0i,0.000197833268263273+0i,0.000215321838136191+0i,1.17816481305054e-05+0i,0.00011221970121639+0i,0.000103105216992595+0i,0.000103109804270155+0i,1.1781869319482e-05+0i
282.571698155115+0i,8.67199114444979e-06+0i,282.571528491781+0i,282.487856508835+0i,135.265203688525+0i,147.2226755933+0i,76.7272294284556+0i,76.7272294607641+0i,70.4954461547864+0i,70.4954460697457+0i,76.7272293720309+0i
464.835247090919+0i,1.38284783235984e-05+0i,464.835045806577+0i,464.71655822982+0i,222.522758485831+0i,242.193813784724+0i,126.222813365449+0i,126.222813461163+0i,115.97100040049+0i,115.971000314897+0i,126.222813300287+0i
