0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
519.949192409975+0i,259.974555660746+0i,259.974633987259+0i,168.263826655622+0i,259.993776247538+0i,168.263826662506+0i,428.25760291442+0i,91.7107289967201+0i
1111.31287278443+0i,551.209851220734+0i,559.997049035319+0i,395.22075745511+0i,560.077443457573+0i,395.221494628488+0i,955.298604293821+0i,155.988623883946+0i
219.971571723177+0i,109.985785861231+0i,109.985785861763+0i,67.34969957971+0i,109.968580567339+0i,67.3496995797175+0i,177.318280309323+0i,42.6360862815185+0i
619.992465846197+0i,309.996232921821+0i,309.996232922755+0i,259.096585460793+0i,309.964243091411+0i,259.096585460796+0i,569.060828580357+0i,50.8996474610222+0i
919.975081069126+0i,459.987465888705+0i,459.987606047072+0i,356.567333747137+0i,459.993798468793+0i,356.567333748224+0i,816.561132159433+0i,103.420132149214+0i
6.6968703139168e-29+0i,2.30161104010197e-30+0i,6.50383037501075e-29+0i,4.49382242356187e-31+0i,6.64722973094094e-29+0i,1.89446939898009e-30+0i,5.93333914720821e-29+0i,7.46637688430136e-30+0i
416.612829023343+0i,206.633437417042+0i,209.956051769037+0i,111.504947102602+0i,210.026719398244+0i,111.505088831143+0i,321.531707375328+0i,95.1284299184995+0i
913.260845647543+0i,452.718707836088+0i,460.019081422056+0i,399.661320728129+0i,460.063089324524+0i,399.662751933808+0i,859.725557621521+0i,53.0559330315288+0i
-2.34122531835642e-72+6.49497640609798e-71i,6.68973334270343e-72+8.20475883049418e-76i,-4.98791482438242e-72-3.10573195643694e-69i,-2.4790086824798e-72-2.98382490980849e-75i,3.57289441117451e-71+2.69401546974452e-68i,-6.9005059837871e-74-2.19544537783867e-72i,-2.4859396395719e-72-1.77611115367029e-68i,3.34966407587879e-73+6.50735116488203e-69i
-4.7091531778973e-102+0i,-3.91433379592971e-108+0i,-8.94836241276355e-102+0i,4.34234357877801e-109+0i,-1.49109195099006e-101+0i,-1.34551994735902e-103+0i,-3.22051936524764e-101+0i,8.70279167948377e-103+0i
619.983130836654+0i,309.991516355352+0i,309.991610475508+0i,240.623753155006+0i,309.997531557054+0i,240.623753156596+0i,550.621284704595+0i,69.367763203647+0i
1019.93915159347+0i,509.969499101637+0i,509.969649839774+0i,359.492196193646+0i,509.99565426973+0i,359.492196294676+0i,869.48785083908+0i,150.477302753969+0i
482.996530915836+0i,223.018204411659+0i,259.712040492407+0i,158.952960229021+0i,259.389349768615+0i,158.95376053708+0i,418.343471105455+0i,64.0639077921637+0i
416.679240317068+0i,206.659999674301+0i,209.982946998125+0i,128.225389570183+0i,210.027210842726+0i,128.225569086321+0i,338.252516524585+0i,78.434665992696+0i
317.63570306146+0i,157.459123507133+0i,160.004811445967+0i,128.677520803413+0i,160.020842701482+0i,128.677841410591+0i,288.69855171748+0i,28.7813015546567+0i
919.922533463974+0i,459.961192833326+0i,459.96133669398+0i,306.384900744651+0i,459.993146493034+0i,306.38490069098+0i,766.378047061265+0i,153.57629212039+0i
1019.99724979908+0i,509.998624898985+0i,509.998624899514+0i,466.788724637881+0i,509.985345813834+0i,466.788724637896+0i,976.774070840406+0i,43.2099002610864+0i
317.630399618043+0i,157.453607403472+0i,160.005178599692+0i,130.683484143439+0i,160.020870806782+0i,130.683646097307+0i,290.704264058346+0i,26.7701049802758+0i
919.979332322157+0i,459.989590092664+0i,459.989736964112+0i,364.531283143474+0i,459.996911677363+0i,364.531283136394+0i,824.528195066183+0i,95.4583069581346+0i
576.080468815355+0i,266.093938240388+0i,309.670125612577+0i,191.759140224515+0i,309.29879553476+0i,191.763184140674+0i,501.063410484588+0i,74.3290565327152+0i
575.698921385171+0i,265.833665451902+0i,309.646215470683+0i,183.356856828559+0i,309.262294507091+0i,183.357159226953+0i,492.619652750687+0i,82.4761699280411+0i
119.027382090872+0i,59.0173961624136+0i,59.9925399981495+0i,34.5581701074755+0i,60.0065588155852+0i,34.5582238685529+0i,94.5647280612484+0i,24.4592120925778+0i
819.892891995902+0i,409.946382886485+0i,409.94650618151+0i,252.627914110678+0i,409.991232808494+0i,252.627914105353+0i,662.619146927683+0i,157.318468792881+0i
419.925605639077+0i,209.962802819234+0i,209.962802819722+0i,121.217056124068+0i,209.952528835969+0i,121.217056124067+0i,331.169584968186+0i,88.7457466951631+0i
719.889277439883+0i,359.944638719811+0i,359.944638720039+0i,214.863360103799+0i,359.947630720009+0i,214.8633601038+0i,574.81099082282+0i,145.081278616011+0i
1.36788462794429e-75+0i,5.97999758551457e-81+0i,1.443885465515e-74+0i,-1.06622137822254e-82+0i,5.61675180980061e-74+0i,1.9947522315675e-77+0i,1.07629646359902e-73+0i,-4.72656575363548e-76+0i
18.3989623276+0i,8.3946537755607+0i,9.97259006275802+0i,2.93060049182776+0i,9.97064256811298+0i,2.93063388288066+0i,12.9013471508795+0i,5.46391429998978+0i
1012.18056643414+0i,502.000767997329+0i,510.010904931718+0i,392.134592932988+0i,510.070478396548+0i,392.133873286092+0i,902.203135759215+0i,109.867982031322+0i
575.97024881472+0i,266.11438951576+0i,309.649181419353+0i,170.514282995991+0i,309.304148532432+0i,170.514270770386+0i,479.818618474573+0i,95.5999277462932+0i
-3.14647643957296e-14+0i,-1.07920179562658e-15+0i,-3.04733782763799e-14+0i,-3.53584423494343e-16+0i,-3.07725941037095e-14+0i,-8.86479565347289e-16+0i,-2.96291925064342e-14+0i,-1.75017420058942e-15+0i
419.895906271847+0i,209.947953135715+0i,209.947953136089+0i,113.915773668086+0i,209.965254740459+0i,113.915773668084+0i,323.881028439379+0i,96.0321794676318+0i
1019.93920439062+0i,509.969522790484+0i,509.969675903416+0i,357.538121185423+0i,509.991906021705+0i,357.538121203649+0i,867.530027205532+0i,152.431401592007+0i
1119.92556885748+0i,559.962707194526+0i,559.962860166273+0i,387.292304201452+0i,559.993153911638+0i,387.292303978856+0i,947.285458277351+0i,172.670402935031+0i
111.223451031774+0i,51.2144733079692+0i,59.9140391853191+0i,32.81964496131+0i,59.8230246958689+0i,32.8205974019193+0i,92.6440996706733+0i,18.3933249860859+0i
819.975923707192+0i,409.987961853597+0i,409.987961853596+0i,315.939219337225+0i,409.985246637536+0i,315.939219337225+0i,725.924465955095+0i,94.0487425163722+0i
519.94175410741+0i,259.970836516858+0i,259.970915663549+0i,165.460882486523+0i,259.996223156844+0i,165.460882503418+0i,425.457105656296+0i,94.5099540727142+0i
912.603698492325+0i,452.54827389388+0i,460.004325266201+0i,344.767586164767+0i,460.05974828946+0i,344.768082556779+0i,804.827685834768+0i,107.780297843219+0i
819.961586327085+0i,409.980793162938+0i,409.980793163995+0i,298.097218620198+0i,409.97783589848+0i,298.097218620185+0i,708.075054683641+0i,111.883574542752+0i
719.934963436686+0i,359.967481718309+0i,359.967481718367+0i,236.102177303201+0i,359.952375337038+0i,236.102177303201+0i,596.05455262962+0i,123.865304415108+0i
319.908545393228+0i,159.954272696102+0i,159.954272696991+0i,83.5168292108884+0i,159.962046496926+0i,83.5168292108941+0i,243.47887571885+0i,76.4374434852075+0i
575.824063623571+0i,265.82770033503+0i,309.659221092574+0i,200.478384961237+0i,309.259988342035+0i,200.479048978052+0i,509.739261938331+0i,65.3481569265115+0i
