0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
0.999999997128406+0i,0.999999939856186+0i,0.999999939856186+0i,0.999999932566754+0i,0.899999999337324+0i,0.911600214827106+0i,0.911600207537675+0i,0.911600226976159+0i,0.899999982328651+0i,0.911599892435299+0i,0.911599907014162+0i,0.999999977464395+0i,0.999999600061274+0i,0.999999585482411+0i
0.999416488359272+0i,0.9952174270419+0i,0.9952174270419+0i,0.993736205184756+0i,0.899865343467524+0i,0.908771715548079+0i,0.907290493690933+0i,0.911240418643555+0i,0.896409159133982+0i,0.890413709615225+0i,0.893376153329921+0i,0.996293199865241+0i,0.981423065037324+0i,0.97846062132286+0i
1+0i,1+0i,1+0i,1+0i,0.9+0i,0.91160023778693+0i,0.91160023778693+0i,0.91160023778693+0i,0.9+0i,0.91160023778693+0i,0.91160023778693+0i,1+0i,1+0i,1+0i
1+0i,1+0i,1+0i,1+0i,0.9+0i,0.91160023778693+0i,0.91160023778693+0i,0.91160023778693+0i,0.9+0i,0.911600237786931+0i,0.911600237786931+0i,1+0i,1+0i,1+0i
0.999999997337783+0i,0.999999943525877+0i,0.999999943525877+0i,0.999999936767942+0i,0.899999999385642+0i,0.911600216324412+0i,0.911600209566477+0i,0.911600227587637+0i,0.899999983617128+0i,0.911599912903012+0i,0.911599926418882+0i,0.999999983821914+0i,0.999999708326029+0i,0.99999969481016+0i
0.999416936732553+0i,0.995219944218977+0i,0.995219944218977+0i,0.993739860540008+0i,0.899865446938281+0i,0.908773603116048+0i,0.907293519433793+0i,0.911240409247565+0i,0.896411918354171+0i,0.890422365132834+0i,0.89338253249067+0i,0.986312473033929+0i,0.937085502029455+0i,0.934125334671655+0i
0.999416748664754+0i,0.995218889112034+0i,0.995218889112034+0i,0.993738328030255+0i,0.89986540353802+0i,0.908772811585972+0i,0.907292250504189+0i,0.911240413388937+0i,0.896410761013872+0i,0.890418735893403+0i,0.893379858056979+0i,0.993646308947953+0i,0.968679602258713+0i,0.965718480095224+0i
0.999416423122939+0i,0.995217060627796+0i,0.995217060627796+0i,0.993735673170663+0i,0.899865328412986+0i,0.908771440860657+0i,0.907290053403554+0i,0.911240419955966+0i,0.896408757679624+0i,0.890412450671157+0i,0.893375225585509+0i,0.996453648208627+0i,0.982230281528218+0i,0.979267506613908+0i
-7.60659648524015e-16+0i,-3.1554735663698e-15+2.24427491794471e-07i,-3.1554735663698e-15+2.24427491794471e-07i,-2.86791897223425e-15+2.24427491794459e-07i,0.9+0i,0.911600237786931+0i,0.911600237786931+0i,0.911600237786931+0i,0.900000000000001+0i,0.911600237786945+0i,0.911600237786945+0i,-1.85794472247232e-16+0i,-1.16245692545772e-15+3.11966575375571e-08i,-5.87347738124491e-16+3.11966575376061e-08i
