0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
0.471147860694122+0i,0.235573964867702+0i,0.235573896412237+0i,0.158054655732895+0i,0.235573905347123+0i,0.158054656808336+0i,0.393628562530436+0i,0.0775193104055747+0i
1.06139754796033+0i,0.530523491049263+0i,0.530843662320248+0i,0.386134395430092+0i,0.530768048890716+0i,0.386124644466883+0i,0.916891146895611+0i,0.144377640637635+0i
0.192876972343902+0i,0.0964384861719051+0i,0.0964384861719574+0i,0.0618088776924435+0i,0.0964384861710556+0i,0.0618088776924309+0i,0.158247363863413+0i,0.0346296084794501+0i
0.612506930721878+0i,0.30625346535963+0i,0.306253465358309+0i,0.257361362984953+0i,0.304495882301366+0i,0.257361362983815+0i,0.561840420337412+0i,0.048892102375558+0i
0.89550052843061+0i,0.447750342197664+0i,0.447750203794098+0i,0.351066987013913+0i,0.447948887383446+0i,0.351066990517695+0i,0.799018015269308+0i,0.0966833590819967+0i
-2.04142873153376e-08+0i,-8.6505555104777e-09+0i,-9.65122022670551e-09+0i,-4.06668916655342e-09+0i,-7.92525722077723e-09+0i,-3.21071054116593e-09+0i,-9.46602672804735e-09+0i,-3.56177112332634e-09+0i
0.325772989881662+0i,0.164007500104521+0i,0.161767220419647+0i,0.0948135580915624+0i,0.161775030039757+0i,0.094814237133399+0i,0.256590846661799+0i,0.069195365957964+0i
0.914126864619959+0i,0.456814848429862+0i,0.457152072800572+0i,0.401663972703403+0i,0.458060050171633+0i,0.401613717186118+0i,0.859675669177207+0i,0.0551021348417081+0i
-4.05648169171151e-59+3.18839578413161e-52i,4.90275925284816e-60-5.7633813690429e-55i,1.7739512913183e-60-6.40375709321377e-55i,-2.43064544306581e-59+3.26887809708017e-54i,1.01785254468317e-18-7.48426507627945e-17i,-6.57025840789403e-60+7.58436692572472e-54i,1.20785915490498e-18+6.89601886589715e-15i,-4.43519472122537e-60+2.28821467361239e-53i
8.38515436517935e-45+0i,4.16629528336272e-45+0i,4.62921778856683e-45+0i,1.9086473679681e-45+0i,-4.62176947608935e-44+0i,2.05357196830278e-45+0i,-3.63374417241833e-43+0i,2.42918791471609e-45+0i
0.603420368861368+0i,0.301710235251666+0i,0.301710137793193+0i,0.236897646270779+0i,0.301842664644629+0i,0.236897647716187+0i,0.538741765734431+0i,0.0648125906173358+0i
0.960823650853069+0i,0.480411901771907+0i,0.480411752825294+0i,0.346680706646164+0i,0.480411761952954+0i,0.346680707849028+0i,0.827092470088602+0i,0.133731196542651+0i
0.457370369093308+0i,0.217678837527716+0i,0.239432673006579+0i,0.156433500068682+0i,0.239158182715412+0i,0.156350369702227+0i,0.395490000252039+0i,0.0611711117656384+0i
